noise_level,scenario,robots,seed,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.982535980641842,0.986818159930408,-0.0042821792885660015,-0.0042821792885660015
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1785490214824676,0.1347687840461731,0.0437802374362945,-0.0437802374362945
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,10.92,11.88,-0.9600000000000009,0.9600000000000009
high,corridor,4,13868,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.679694652557373,0.6566953659057617,0.022999286651611328,0.022999286651611328
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9821728840470314,0.987894594669342,-0.005721710622310638,-0.005721710622310638
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1821320205926895,0.1236757561564445,0.05845626443624499,-0.05845626443624499
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.48,12.84,-0.35999999999999943,0.35999999999999943
high,corridor,4,13885,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5959008932113647,0.627240002155304,-0.03133910894393921,-0.03133910894393921
high,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,1.0,-1.0,1.0
high,corridor,4,13902,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
