scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,occlusion_probability,occlusion_max_duration,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,rvo_reactive,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9540232856888709843,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,1,0,0.4462766647338867,26.4,220,0.8131424784660339,1.4902180433273315,0.9196862280368804,14.264312637365949,1.0802006933160804,1.1225500545718454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7136363636363636,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,residual_passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9540232856888709843,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.6609724760055542,26.4,220,0.5924931168556213,1.022573709487915,0.941479679197073,15.017957406809728,1.3536435479467566,1.24121485799551,2.062782442986976,0.45125,0.3392045454545455,-0.0447565592853987,0.0750132090723649,0.0863799667622555,0.40145519709077,0.7357954545454546,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,icgp_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,10978362172127905003,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.6478424668312073,26.4,220,0.5401864051818848,1.170551896095276,0.9466459937393664,14.979939815530088,1.6472914526408369,1.4851105145432733,1.5351730115732856,0.4603409090909091,0.3346590909090909,-0.0638154527088045,0.0858686774218962,0.1016141934792765,0.4220931367549029,0.7676136363636363,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,10978362172127905003,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.57014000415802,26.4,220,0.5332906246185303,0.922777533531189,0.9473270885646344,15.1085555331083,1.5179144622250036,1.413626621257175,1.0311474434440078,0.4932954545454545,0.3920454545454545,-0.0720050387501145,0.0487481019628996,0.0603949355300177,0.4512010435300287,0.7340909090909091,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,rvo_reactive,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,10978362172127905003,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,1,0,0.6516159772872925,26.4,220,0.6347159147262573,0.8441210389137268,0.937309354543686,14.24274632619381,1.1111464495008645,1.110960530828346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6789772727272727,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,residual_passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,10978362172127905003,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,1,0,0.4655065834522247,26.4,220,0.7888091802597046,1.3601597547531128,0.922089621424675,14.390045532571094,1.6498132870955902,1.469828325239095,1.826332670068289,0.4888636363636364,0.3755681818181818,-0.0477701943199605,0.0712202166554264,0.0822904747668653,0.4016312186792493,0.71875,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,3400306430292137184,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,0,0,0,0,0.7406679463386536,26.4,220,1.770188808441162,6.848117828369141,0.8329857140779495,13.523497901842347,0.9896079558207104,0.7073764412545761,2.3561135233070343,0.2709090909090909,0.1068181818181818,0.4456512008047082,0.6005453448062645,0.6100149822791028,1.0314255416207123,0.5772727272727273,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,3400306430292137184,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,1,0,0,0,0.6447901725769043,23.4,195,0.1372156590223312,0.3358950614929199,0.9870539382100104,12.784953502807184,0.9789120203331828,0.7423372513218656,1.425086153903976,0.3561538461538461,0.2307692307692307,0.3525544003495013,0.498247698562154,0.5542976195280422,1.128009241582581,0.4615384615384615,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,rvo_reactive,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,3400306430292137184,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,1,0,1,0,0.7333254289627076,21.24,177,0.1121250241994857,0.3002467751502991,0.98942119628191,12.45171888567711,0.6854702766989963,0.4629335947240056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501412429378531,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,residual_passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,3400306430292137184,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,0,0,0,0,0.7607550096511841,26.4,220,1.1904163360595703,4.592115879058838,0.8876862600445747,12.784064173592924,1.212098070233002,0.876002506645946,1.5448017042217543,0.2561363636363636,0.0931818181818181,0.3707965670053941,0.4846072779920917,0.497402051199196,0.8342282244268541,0.6465909090909091,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,icgp_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15560495564465319828,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,1,0,1,0,0.6481693983078003,14.4,120,0.1068282276391983,0.3451688587665558,0.9899209402501584,11.193504461007253,1.057527151873607,0.8262611425032361,1.399710624658231,0.2904166666666666,0.1958333333333333,0.5173527494660383,0.671116324477098,0.7326499873793729,1.103018421544859,0.49375,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15560495564465319828,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,0,0,0,0,0.7411560416221619,26.4,220,1.2842649221420288,5.052117347717285,0.8788318037986755,12.37086418002582,0.8978790783521783,0.7842381121832447,1.530526818334527,0.2713636363636363,0.1556818181818181,0.5398418049576762,0.6667138192193761,0.6788954423205462,1.345587654959778,0.4852272727272727,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,rvo_reactive,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15560495564465319828,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,0,0,0,0,0.7447648119926453,26.4,220,2.231444358825684,6.724773406982422,0.7894670516252518,11.765281699286788,1.0821063866415483,0.9668172467669304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954545454545454,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14177,residual_passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15560495564465319828,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.8142642974853516,0.8264856338500977,0,0,0,0,0,2.817265272140503,1,0,0,0,0.702034592628479,13.44,112,0.121374487876892,0.3371686041355133,0.9885485246777534,11.233366227184888,1.0997062746724364,0.8694732011163627,2.005869196831814,0.2696428571428571,0.1830357142857142,0.4902007039782606,0.5877034761760943,0.6522845905958504,1.0237318893942278,0.578125,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9107538407580167216,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,1,0,0.6577067971229553,26.4,220,3.5275321006774902,7.598935604095459,0.6604008972644806,11.904263286869536,1.3282634569162672,1.0666559261693196,1.5980463067700674,0.6095454545454545,0.3198863636363636,-0.1315198255459353,0.0491122132104227,0.056571371219071,0.4178964782236355,0.7806818181818181,0
