"scenario","robots","seed","method","success","collision","safety_violation","obstacle_collision","min_distance","completion_time","steps","final_goal_distance","progress_ratio","path_length","control_effort","smoothness","latency_ms","screen_reject_rate","screen_all_reject_rate","screen_min_margin","screen_selected_margin","screen_predicted_margin","screen_runtime_margin","rvo_intervention_rate","recovery_trigger_rate","recovery_safe_choice_rate","recovery_all_unsafe_rate","recovery_selected_margin","recovery_selected_progress","seed_index"
"bottleneck","4","14067","constant_velocity_mpc","0","0","0","0","1.0959683132171631","16.8","140","8.088708877563477","0.275783360004425","9.880810165952424","2.5541697378669466","1.4192031906348008","0.0","0.0139285714285714","0.0","0.525464480855294","0.5838940373605614","0.5838940394892987","0.5838940377863089","0.0","0.0","0.0","0.0","0.0","0.0","0"
"bottleneck","4","14084","constant_velocity_mpc","0","0","0","0","1.0943730545043946","16.8","140","8.080684661865234","0.2737343311309814","10.270533062401228","2.400888408081872","1.245647968874407","0.0","0.0192857142857142","0.0","0.5121832128999614","0.5720977740450999","0.5720977744708473","0.572097774683721","0.0","0.0017857142857142","1.0","0.0","0.6599058174008667","0.0835800170898437","1"
"bottleneck","4","14101","constant_velocity_mpc","0","0","0","0","1.0765895318984986","16.8","140","8.078981399536133","0.2727077007293701","9.43638505297713","2.605690931901336","1.5547659424084028","0.0","0.0157142857142857","0.0","0.5342964292429664","0.5963370255272575","0.5963370274431211","0.5963370257401313","0.0","0.0","0.0","0.0","0.0","0.0","2"
"bottleneck","4","14118","constant_velocity_mpc","0","0","0","0","1.017536587715149","16.8","140","8.091259956359863","0.2741237282752991","9.870780324126828","2.6076114535331727","1.4728262675393904","0.0","0.0210714285714285","0.0","0.5316412101747956","0.5933358225112221","0.5933358231498432","0.5933358229369695","0.0","0.0","0.0","0.0","0.0","0.0","3"
"bottleneck","4","14135","constant_velocity_mpc","0","0","0","0","1.1249592971801758","16.8","140","8.090692520141602","0.273051381111145","9.541718898661202","2.603145564028195","1.5293426050459236","0.0","0.0132142857142857","0.0","0.5334146325298306","0.5933105252156842","0.5933105271315477","0.5933105262800528","0.0","0.0","0.0","0.0","0.0","0.0","4"
"bottleneck","4","14152","constant_velocity_mpc","0","0","0","0","1.0742014122009278","16.8","140","8.128276824951172","0.2701804637908935","9.92961416358594","2.5761000379920005","1.4486983141848142","0.0","0.0153571428571428","0.0","0.531778977544118","0.5912104721011457","0.5912104733783882","0.591210472739767","0.0","0.0","0.0","0.0","0.0","0.0","5"
"bottleneck","4","14169","constant_velocity_mpc","0","0","0","0","1.0790293884277344","16.8","140","8.192071914672852","0.2641255259513855","10.251106943484046","2.6400967563901627","1.3957040722600125","0.0","0.0185714285714285","0.0","0.5285247689010332","0.5916277778883505","0.5916277793784667","0.5916277785269717","0.0","0.0","0.0","0.0","0.0","0.0","6"
"bottleneck","4","14186","constant_velocity_mpc","0","0","0","0","1.1137315702438355","16.8","140","8.11598014831543","0.269278883934021","9.865569126908667","2.6462912624435764","1.4857138723217682","0.0","0.0128571428571428","0.0","0.5272456237487093","0.5850623540107516","0.5850623550751203","0.5850623546493728","0.0","0.0","0.0","0.0","0.0","0.0","7"
"bottleneck","4","14203","constant_velocity_mpc","0","0","0","0","1.1459687423706055","16.8","140","8.054856300354004","0.2805010676383972","9.049103779776487","2.439369236997196","1.3723109016041193","0.0","0.0121428571428571","0.0","0.521362589409212","0.5763154385030347","0.5763154402060245","0.5763154387159085","0.0","0.0","0.0","0.0","0.0","0.0","8"
"bottleneck","4","14220","constant_velocity_mpc","0","0","0","0","1.104337043762207","16.8","140","8.18314266204834","0.2666637897491455","9.120128113514513","2.583044949386801","1.6236548283572376","0.0","0.0121428571428571","0.0","0.5352441574311783","0.5922356308583606","0.592235632135603","0.5922356310712343","0.0","0.0","0.0","0.0","0.0","0.0","9"
"bottleneck","4","14237","constant_velocity_mpc","0","0","0","0","1.0991779041290284","16.8","140","8.054109573364258","0.277021586894989","9.39164022920886","2.6225659796169825","1.547837040387094","0.0","0.0121428571428571","0.0","0.5267315086244241","0.584407580092564","0.5844075815826801","0.5844075803054377","0.0","0.0","0.0","0.0","0.0","0.0","10"
"bottleneck","4","14254","constant_velocity_mpc","0","0","0","0","1.1041174602508546","16.8","140","8.02319049835205","0.2775771021842956","9.67381700995611","2.540874694287777","1.4165840851465212","0.0","0.0142857142857142","0.0","0.5282278921323454","0.5896194703595343","0.5896194727011453","0.5896194709981556","0.0","0.0","0.0","0.0","0.0","0.0","11"
"bottleneck","4","14271","constant_velocity_mpc","0","0","0","0","1.097726173400879","16.8","140","8.057670593261719","0.2770770192146301","9.808184812718537","2.57167789212295","1.3933048470507958","0.0","0.0171428571428571","0.0","0.5293074807781762","0.5903606722558392","0.5903606724687129","0.5903606724687129","0.0","0.0","0.0","0.0","0.0","0.0","12"
"bottleneck","4","14288","constant_velocity_mpc","0","0","0","0","1.11415762424469","16.8","140","7.9891676902771","0.2804516553878784","10.172825449262746","2.549567820557526","1.2963656053930062","0.0","0.0164285714285714","0.0","0.5243984787263516","0.5873004423766899","0.587300443866806","0.587300443015311","0.0","0.0","0.0","0.0","0.0","0.0","13"
