noise_level,method,metric,direction,trials,mean,bootstrap_ci_low,bootstrap_ci_high
high,residual_zero,safety_violation,lower,240,0.0375,0.016666666666666666,0.0625
high,residual_zero,screen_all_reject_rate,higher,240,0.20642655835762364,0.19469246069237,0.2180645999608073
high,residual_zero,screen_reject_rate,higher,240,0.35701163617166,0.33834281079193723,0.37593756386724464
high,residual_zero,success,higher,240,0.4625,0.4,0.525
low,plain_candidate,collision,lower,240,0.0125,0.0,0.029166666666666667
low,plain_candidate,completion_time,lower,240,21.366999999999997,20.5425,22.182999999999996
low,plain_candidate,final_goal_distance,lower,240,0.9421622607856989,0.8183650904210905,1.0733131366215336
low,plain_candidate,latency_ms,lower,240,0.14863305457050865,0.14192666804464793,0.15556940981218695
low,plain_candidate,min_distance,higher,240,0.6833757266414155,0.6667668441751852,0.7012888791701047
low,plain_candidate,progress_ratio,higher,240,0.9089040022964279,0.8962042379037787,0.9207872495805107
low,plain_candidate,rvo_intervention_rate,higher,240,0.6609541394252083,0.6419977980660355,0.6798842847695682
low,plain_candidate,safety_violation,lower,240,0.058333333333333334,0.029166666666666667,0.09166666666666666
low,plain_candidate,screen_all_reject_rate,higher,240,0.21308653742978595,0.1985285991562212,0.2279833898333927
low,plain_candidate,screen_reject_rate,higher,240,0.3880159725166242,0.36639004038702805,0.40982206854973047
low,plain_candidate,success,higher,240,0.42083333333333334,0.35833333333333334,0.48333333333333334
low,plain_zero,collision,lower,240,0.004166666666666667,0.0,0.0125
low,plain_zero,completion_time,lower,240,21.871499999999994,21.030974999999998,22.669024999999998
low,plain_zero,final_goal_distance,lower,240,0.9258127049542964,0.8080206323942791,1.0502070888574235
low,plain_zero,latency_ms,lower,240,0.15022879655454807,0.14303452747904272,0.15750522513482576
low,plain_zero,min_distance,higher,240,0.6833974040581272,0.6675655404605558,0.699883216407517
low,plain_zero,progress_ratio,higher,240,0.9104503778081077,0.8984780088890694,0.92211377995923
low,plain_zero,rvo_intervention_rate,higher,240,0.6570232924623389,0.6396747669064088,0.6744970717469329
low,plain_zero,safety_violation,lower,240,0.0875,0.05416666666666667,0.125
low,plain_zero,screen_all_reject_rate,higher,240,0.23453270812902474,0.22078732407341306,0.24864255658482748
low,plain_zero,screen_reject_rate,higher,240,0.38220851911755194,0.3624847116892212,0.40242001572124736
low,plain_zero,success,higher,240,0.35833333333333334,0.3,0.42083333333333334
low,residual_candidate,collision,lower,240,0.004166666666666667,0.0,0.0125
low,residual_candidate,completion_time,lower,240,21.267,20.4255,22.0810125
low,residual_candidate,final_goal_distance,lower,240,0.9669876954828699,0.8367872327247945,1.1058838013668233
low,residual_candidate,latency_ms,lower,240,0.19400418949213824,0.18421751536719974,0.20408476400927486
low,residual_candidate,min_distance,higher,240,0.7203872141815846,0.7038985470114831,0.737944858075674
low,residual_candidate,progress_ratio,higher,240,0.9064762976602652,0.8931244141664744,0.9193948469874643
low,residual_candidate,rvo_intervention_rate,higher,240,0.6285445791836096,0.6054826606567523,0.6513580833788746
low,residual_candidate,safety_violation,lower,240,0.041666666666666664,0.016666666666666666,0.07083333333333333
low,residual_candidate,screen_all_reject_rate,higher,240,0.19198356093011384,0.18043824734870723,0.20362351171870482
low,residual_candidate,screen_reject_rate,higher,240,0.361087249660339,0.3416216738101524,0.38055447508334417
low,residual_candidate,success,higher,240,0.4166666666666667,0.3541666666666667,0.4791666666666667
low,residual_zero,collision,lower,240,0.0125,0.0,0.029166666666666667
low,residual_zero,completion_time,lower,240,21.278499999999994,20.444487499999997,22.118
low,residual_zero,final_goal_distance,lower,240,0.9527376391304035,0.8201669594808482,1.087080986938284
low,residual_zero,latency_ms,lower,240,0.19119684225903402,0.18233584571985456,0.20021174426945562
low,residual_zero,min_distance,higher,240,0.72145311791189,0.703779419143247,0.7402836707959706
low,residual_zero,progress_ratio,higher,240,0.9079054948097716,0.8949953373099562,0.92037468571439
low,residual_zero,rvo_intervention_rate,higher,240,0.6383753316149713,0.6162985039452207,0.6598924060419149
low,residual_zero,safety_violation,lower,240,0.029166666666666667,0.008333333333333333,0.05416666666666667
low,residual_zero,screen_all_reject_rate,higher,240,0.19870538600174287,0.18663674075562503,0.21091318639085452
low,residual_zero,screen_reject_rate,higher,240,0.3553489227143486,0.33685761830365957,0.3737070406010682
low,residual_zero,success,higher,240,0.4166666666666667,0.3541666666666667,0.4791666666666667
medium,plain_candidate,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332
medium,plain_candidate,completion_time,lower,240,21.084999999999997,20.242,21.924
medium,plain_candidate,final_goal_distance,lower,240,0.9789703839768966,0.8490706987841986,1.1133569356123918
medium,plain_candidate,latency_ms,lower,240,0.14959761806783553,0.14239251204650322,0.15681839739609857
medium,plain_candidate,min_distance,higher,240,0.690884327533072,0.677325520093034,0.7050492702185855
medium,plain_candidate,progress_ratio,higher,240,0.9053918596085472,0.8926683726587604,0.9175268565271593
medium,plain_candidate,rvo_intervention_rate,higher,240,0.6582907948074871,0.6378935359595841,0.6775186404922077
medium,plain_candidate,safety_violation,lower,240,0.025,0.008333333333333333,0.04583333333333333
medium,plain_candidate,screen_all_reject_rate,higher,240,0.2131071608189572,0.19786199154040773,0.2285806135046582
medium,plain_candidate,screen_reject_rate,higher,240,0.3908707689547072,0.3694553763533693,0.41263214275924415
medium,plain_candidate,success,higher,240,0.4125,0.35,0.475
medium,plain_zero,collision,lower,240,0.016666666666666666,0.004166666666666667,0.03333333333333333
medium,plain_zero,completion_time,lower,240,21.961999999999996,21.139987499999997,22.752549999999996
medium,plain_zero,final_goal_distance,lower,240,0.9303529099250833,0.8129687614917445,1.0519260973211688
medium,plain_zero,latency_ms,lower,240,0.14971695083990813,0.14211854865515627,0.15741304148226895
medium,plain_zero,min_distance,higher,240,0.6953847793330193,0.6799622116509864,0.7109686085563477
medium,plain_zero,progress_ratio,higher,240,0.9099664397110853,0.898029171009354,0.921055129779949
medium,plain_zero,rvo_intervention_rate,higher,240,0.6624908835964524,0.6439553840788472,0.6804469380565654
medium,plain_zero,safety_violation,lower,240,0.0625,0.03333333333333333,0.09583333333333334
medium,plain_zero,screen_all_reject_rate,higher,240,0.2306976093145878,0.217062347893378,0.2445802819954252
medium,plain_zero,screen_reject_rate,higher,240,0.3815102342592516,0.36161099056852347,0.4013005051201538
medium,plain_zero,success,higher,240,0.37083333333333335,0.30833333333333335,0.43333333333333335
medium,residual_candidate,collision,lower,240,0.0,0.0,0.0
medium,residual_candidate,completion_time,lower,240,20.952499999999993,20.090962499999996,21.780012499999998
medium,residual_candidate,final_goal_distance,lower,240,0.9051658793662986,0.7806754807794156,1.0320935363485477
medium,residual_candidate,latency_ms,lower,240,0.19007025114669585,0.18075383892423272,0.19969430987057998
medium,residual_candidate,min_distance,higher,240,0.7059104747179882,0.691863997568341,0.720173510776786
medium,residual_candidate,progress_ratio,higher,240,0.9124323332759862,0.9003004642269419,0.9245567214370628
