noise_level,scenario,robots,seed_index,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,5,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,5,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,5,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9875181140378118,0.9853102741762996,0.002207839861512184,0.002207839861512184
clean,corridor,4,5,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1275649815797805,0.1501291245222091,-0.022564142942428617,0.022564142942428617
clean,corridor,4,5,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.24,10.92,1.3200000000000003,-1.3200000000000003
clean,corridor,4,5,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.6373356580734253,0.7213996052742004,-0.08406394720077515,-0.08406394720077515
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9872438479214908,0.988452859222889,-0.0012090113013981663,-0.0012090113013981663
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1304554194211959,0.1180910244584083,0.0123643949627876,-0.0123643949627876
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.92,13.68,0.2400000000000002,-0.2400000000000002
clean,corridor,4,6,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5050532817840576,0.5283845067024231,-0.02333122491836548,-0.02333122491836548
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9840630255639552,0.9892896004021168,-0.0052265748381615795,-0.0052265748381615795
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1630196720361709,0.109556920826435,0.0534627512097359,-0.0534627512097359
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,11.88,12.96,-1.08,1.08
clean,corridor,4,7,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.643066942691803,0.7116319537162781,-0.0685650110244751,-0.0685650110244751
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9883054057136178,0.97938278503716,0.008922620676457771,0.008922620676457771
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1193994283676147,0.210497573018074,-0.0910981446504593,0.0910981446504593
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.6,10.92,1.6799999999999997,-1.6799999999999997
clean,corridor,4,8,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5864060521125793,0.6963300704956055,-0.10992401838302612,-0.10992401838302612
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,1.0,0.0,-0.0
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9874481251463294,0.9894935572519898,-0.0020454321056604385,-0.0020454321056604385
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1282310038805008,0.1073346957564354,0.0208963081240654,-0.0208963081240654
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.56,13.68,-0.11999999999999922,0.11999999999999922
clean,corridor,4,9,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.4915292859077453,0.516014575958252,-0.024485290050506647,-0.024485290050506647
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9876249488443136,0.9806361626833676,0.006988786160946003,0.006988786160946003
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1263538151979446,0.1977118849754333,-0.07135806977748868,0.07135806977748868
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.44,10.92,2.5199999999999996,-2.5199999999999996
clean,corridor,4,10,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5123412609100342,0.6825004816055298,-0.1701592206954956,-0.1701592206954956
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9851081566885114,0.9867456695064902,-0.001637512817978859,-0.001637512817978859
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1522144824266433,0.1354769170284271,0.016737565398216192,-0.016737565398216192
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,11.88,12.6,-0.7199999999999989,0.7199999999999989
clean,corridor,4,11,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.6203426718711853,0.677910566329956,-0.05756789445877075,-0.05756789445877075
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9886221261695028,0.9823648929595948,0.006257233209908009,0.006257233209908009
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1164711639285087,0.1805242002010345,-0.06405303627252579,0.06405303627252579
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,14.16,10.92,3.24,-3.24
clean,corridor,4,12,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5204872488975525,0.6790616512298584,-0.1585744023323059,-0.1585744023323059
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9879307979717852,0.9880574736744164,-0.0001266757026312515,-0.0001266757026312515
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1233280599117279,0.1220336407423019,0.001294419169426006,-0.001294419169426006
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.32,12.84,0.4800000000000004,-0.4800000000000004
clean,corridor,4,13,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5048549175262451,0.6176363825798035,-0.11278146505355835,-0.11278146505355835
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.988259826786816,0.985914746299386,0.0023450804874299847,0.0023450804874299847
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1197462081909179,0.1436653137207031,-0.023919105529785198,0.023919105529785198
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.68,11.4,2.2799999999999994,-2.2799999999999994
clean,corridor,4,14,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5201115608215332,0.6746811270713806,-0.1545695662498474,-0.1545695662498474
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
