condition,architecture,candidate_conditioned,epoch,train_loss,val_loss,val_ADE,val_FDE
plain_candidate,plain,1,1,0.031162529167803852,0.030527165159583092,1.5700371265411377,1.5976927280426025
plain_candidate,plain,1,2,0.019848856736313213,0.02218187414109707,1.2900230884552002,1.340262770652771
plain_candidate,plain,1,3,0.01346626357090744,0.017060648649930954,1.077347993850708,1.1519285440444946
plain_candidate,plain,1,4,0.010259511541913856,0.012967663817107677,0.9100298881530762,0.9816188216209412
plain_candidate,plain,1,5,0.007686477450823242,0.009922810830175877,0.7786733508110046,0.8502944707870483
plain_candidate,plain,1,6,0.006306240673769604,0.007729062344878912,0.6951737999916077,0.7781813144683838
plain_candidate,plain,1,7,0.005554652899842371,0.006351846735924482,0.6354213356971741,0.7171736359596252
plain_candidate,plain,1,8,0.0046846474182199345,0.005224438384175301,0.5902975797653198,0.6718559861183167
plain_candidate,plain,1,9,0.003982433350756764,0.004315314348787069,0.5397917628288269,0.6224786043167114
plain_candidate,plain,1,10,0.0035103322641754694,0.0036764503456652164,0.5144992470741272,0.5930174589157104
plain_candidate,plain,1,11,0.003105867781083692,0.0032471665181219578,0.488566130399704,0.568634033203125
plain_candidate,plain,1,12,0.0028954007959162645,0.002857956336811185,0.46255892515182495,0.5458232760429382
plain_zero,plain,0,1,0.03054746257310564,0.02959643118083477,1.5241179466247559,1.5522955656051636
plain_zero,plain,0,2,0.01913882741196589,0.021588031202554703,1.2599555253982544,1.3103713989257812
plain_zero,plain,0,3,0.012831603092226114,0.01624099723994732,1.033603549003601,1.1126192808151245
plain_zero,plain,0,4,0.009530959735539827,0.011985482648015022,0.8582822680473328,0.9287029504776001
plain_zero,plain,0,5,0.007058917079120874,0.00908899586647749,0.733966052532196,0.8043562769889832
plain_zero,plain,0,6,0.00571996858343482,0.006949435919523239,0.652037501335144,0.736316442489624
plain_zero,plain,0,7,0.0049309049394320355,0.005574779585003853,0.5897477269172668,0.6751452684402466
plain_zero,plain,0,8,0.004108644810251214,0.004597472492605448,0.5525683760643005,0.635799765586853
plain_zero,plain,0,9,0.0035156234675510364,0.0037288800813257694,0.5055820345878601,0.588004469871521
plain_zero,plain,0,10,0.003056203226812861,0.003184431465342641,0.4818648397922516,0.5608626008033752
plain_zero,plain,0,11,0.002669074255126444,0.002875047503039241,0.46147748827934265,0.5388454794883728
plain_zero,plain,0,12,0.0025449688758023763,0.002495505614206195,0.43092989921569824,0.5174445509910583
residual_candidate,residual,1,1,0.031003949147733776,0.02538934350013733,1.3831977844238281,1.3930240869522095
residual_candidate,residual,1,2,0.016081374561922115,0.017368614673614502,1.1267800331115723,1.1791753768920898
residual_candidate,residual,1,3,0.010920882352035154,0.013459799811244011,0.9612396955490112,1.0098936557769775
residual_candidate,residual,1,4,0.008581189015372232,0.010313020087778568,0.8207710981369019,0.8776902556419373
residual_candidate,residual,1,5,0.006681282030926509,0.007904544472694397,0.7238132357597351,0.7899285554885864
residual_candidate,residual,1,6,0.005458752328360622,0.006231615319848061,0.649290144443512,0.7152947783470154
residual_candidate,residual,1,7,0.0046621598091653805,0.0052144452929496765,0.6082066297531128,0.6728742718696594
residual_candidate,residual,1,8,0.00394349621439522,0.004406751599162817,0.5625211596488953,0.6298418045043945
residual_candidate,residual,1,9,0.0034030826804651456,0.0037980058696120977,0.5187662839889526,0.5909379720687866
residual_candidate,residual,1,10,0.0029136927756057544,0.0033143581822514534,0.49073976278305054,0.5680111646652222
residual_candidate,residual,1,11,0.0024448237805203958,0.0029946747235953808,0.46868637204170227,0.542678952217102
residual_candidate,residual,1,12,0.0022527348588813434,0.0026742927730083466,0.4455881416797638,0.527606189250946
residual_zero,residual,0,1,0.030756417153911156,0.025022296234965324,1.3630329370498657,1.3775907754898071
residual_zero,residual,0,2,0.015815894458104263,0.01724756322801113,1.115814208984375,1.1747589111328125
residual_zero,residual,0,3,0.010739731094376608,0.013359924778342247,0.946865975856781,1.0011299848556519
residual_zero,residual,0,4,0.008415544701909477,0.010118145495653152,0.8047276735305786,0.8691017031669617
residual_zero,residual,0,5,0.006482740948823365,0.00772898131981492,0.7085572481155396,0.7800395488739014
residual_zero,residual,0,6,0.0053005545315417376,0.006098133511841297,0.6359652280807495,0.7047407031059265
residual_zero,residual,0,7,0.004484119761565869,0.00508060771971941,0.5955957770347595,0.6658847332000732
residual_zero,residual,0,8,0.003791020463474772,0.004258716944605112,0.54795902967453,0.6205305457115173
residual_zero,residual,0,9,0.003259054088795727,0.003677111119031906,0.5053145289421082,0.5813363790512085
residual_zero,residual,0,10,0.0027576558164913545,0.0031888247467577457,0.4767860472202301,0.5593906044960022
residual_zero,residual,0,11,0.002308982339772311,0.0028710076585412025,0.4551747739315033,0.5339567065238953
residual_zero,residual,0,12,0.002117959972978993,0.0025439602322876453,0.43243932723999023,0.5168067812919617
