noise_level,scenario,robots,seed_index,contrast,metric,direction,residual_conditioning_effect,plain_conditioning_effect,interaction_delta
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.021248817443847656,0.034388065338134766,-0.05563688278198242
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
medium,corridor,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.008243918418884277,0.0702594518661499,-0.062015533447265625
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,1.0,0.0,1.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,1.0,0.0,1.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.001291867345571407,-0.002252340316772572,0.000960472971201165
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.013079583644866943,0.02280402183532715,-0.009724438190460205
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
high,corridor,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.294071763753891,0.06748014688491821,-0.3615519106388092
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,-1.0,0.0,-1.0
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.15667643491178762,-0.20979851484298706,0.05312207993119944
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,1.6606177166104317,2.223660230636597,-0.5630425140261655
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,9.0,0.0,9.0
clean,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.06727634963036955,-0.07612699270248413,0.14340334233285368
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.0018862774595619358,-0.21828967332839966,0.2201759507879616
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-0.019992709159851005,2.313658118247986,-2.333650827407837
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-2.639999999999999,0.0,-2.639999999999999
low,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.0,0.09382271752579274,-0.09382271752579274
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.0014954805374145508,-0.016077429056167603,0.014581948518753052
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.015850543975830078,0.17040514945983887,-0.1545546054840088
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
medium,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,0.0,-0.07789077210037887,0.07789077210037887
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,success,interaction,1.0,-1.0,2.0
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.15069447085261334,-0.00312660075724136,0.1538210716098547
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-1.597214788198471,0.033138930797576904,-1.630353718996048
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,-8.04,3.2399999999999984,-11.279999999999998
high,narrow_gate,4,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.023067039563326563,-0.08076208829879761,0.057695048735471044
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.039997875690460205,-0.037222445011138916,-0.002775430679321289
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.41547155380249023,0.3866423368453975,0.02882921695709273
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
clean,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.029284954071044922,-0.06416177749633789,0.03487682342529297
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.09753411263227463,-0.3263704776763915,0.22883636504411686
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,1.013120174407959,3.3901220560073853,-2.3770018815994263
