"scenario","scenario_generation_version","rvo_safety_layer_version","tier","area_policy","robots","seed","method","noise_level","sigma_p","sigma_v","observation_noise_protocol","observation_noise_seed","workspace_width","workspace_height","workspace_area","agent_density","area_per_agent","dominant_flow_axis","lateral_axis","passage_width","agents_per_passage_width","start_bounds_margin","goal_bounds_margin","starts_out_of_bounds","goals_out_of_bounds","initial_collision","initial_safety_violation","initial_obstacle_collision","initial_min_distance","success","collision","safety_violation","obstacle_collision","min_distance","completion_time","steps","final_goal_distance","max_final_goal_distance","progress_ratio","path_length","control_effort","smoothness","latency_ms","screen_reject_rate","screen_all_reject_rate","screen_min_margin","screen_selected_margin","screen_predicted_margin","screen_runtime_margin","rvo_intervention_rate","seed_index"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13868","icgp_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","4440703258638470964","12.0","5.4","64.80000000000001","0.0617283950617283","16.200000000000003","x","y","4.140000000000001","0.9661835748792268","0.963308334350586","0.9641275405883788","0","0","0","0","0","1.2154004955291748","1","0","0","0","0.7285234928131104","10.68","89","0.1797493398189544","0.3722214102745056","0.9824185762554408","10.899844501633195","0.6851953988936678","0.5260198337517763","2.669220787650916","0.1337078651685393","0.0561797752808988","0.2781923334861403","0.4206749781413693","0.4661843741191237","0.5880721705683162","0.8623595505617978","0"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13868","passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","4440703258638470964","12.0","5.4","64.80000000000001","0.0617283950617283","16.200000000000003","x","y","4.140000000000001","0.9661835748792268","0.963308334350586","0.9641275405883788","0","0","0","0","0","1.2154004955291748","1","0","1","0","0.5030941963195801","13.32","111","0.1057450771331787","0.3142925500869751","0.9896569913253188","11.828147216583602","0.6190664605195592","0.4341275943928069","2.764424776893344","0.1391891891891891","0.09009009009009","0.2306134660911184","0.3377893650786833","0.3705997881467814","0.5547930812567203","0.6869369369369369","0"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13868","residual_passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","4440703258638470964","12.0","5.4","64.80000000000001","0.0617283950617283","16.200000000000003","x","y","4.140000000000001","0.9661835748792268","0.963308334350586","0.9641275405883788","0","0","0","0","0","1.2154004955291748","1","0","0","0","0.581628143787384","13.44","112","0.139330044388771","0.3275877237319946","0.9863720191642642","12.550725575070828","0.7094637670525117","0.4600575046824815","1.3728723237623597","0.1058035714285714","0.0870535714285714","0.3175524752314335","0.3970980871189385","0.4865419265082372","0.5342803934402763","0.8191964285714286","0"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13868","rvo_reactive","clean","0.0","0.0","neighbor_gaussian_v1","4440703258638470964","12.0","5.4","64.80000000000001","0.0617283950617283","16.200000000000003","x","y","4.140000000000001","0.9661835748792268","0.963308334350586","0.9641275405883788","0","0","0","0","0","1.2154004955291748","1","0","0","0","0.8400508546829224","15.0","125","0.1448541432619094","0.2967264354228973","0.9858317030593752","11.18669841735391","0.4140239232783206","0.4236746378093958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.476","0"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13885","icgp_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","4728353926169695043","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","1.0042142868041992","0.9634509086608887","0","0","0","0","0","1.2159874820709229","1","0","1","0","0.5040075182914734","12.719999999999999","106","0.13251277804374695","0.37972891330718994","0.9870296251028776","11.862562750116922","0.6572792971755744","0.4328493383308908","21.484312736473203","0.11320754716981132","0.05188679245283019","0.29055693347446343","0.422742919805196","0.48634615985149476","0.5568717710645694","0.7995283018867925","1"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13885","passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","4728353926169695043","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","1.0042142868041992","0.9634509086608887","0","0","0","0","0","1.2159874820709229","1","0","0","0","0.5469114780426025","12.12","101","0.13046517968177795","0.35743311047554016","0.9872300447896123","11.565573543077335","0.6424381128900758","0.4296822434770736","23.331852969517563","0.14504950495049504","0.09653465346534654","0.2241697015425209","0.3328246140775114","0.360422873553073","0.5620535184162678","0.7153465346534653","1"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13885","residual_passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","4728353926169695043","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","1.0042142868041992","0.9634509086608887","0","0","0","0","0","1.2159874820709229","1","0","0","0","0.7291406989097595","12.12","101","0.17531925439834595","0.30986452102661133","0.9828397203236818","11.9108079461148","0.6939963996283581","0.4343335259461425","23.396063612146985","0.11683168316831684","0.09653465346534654","0.28612446288993154","0.37453738874137993","0.42747364300017304","0.5345679117311345","0.8094059405940595","1"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13885","rvo_reactive","clean","0.0","0.0","neighbor_gaussian_v1","4728353926169695043","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","1.0042142868041992","0.9634509086608887","0","0","0","0","0","1.2159874820709229","1","0","0","0","0.8400116348266602","18.0","150","0.12081759423017502","0.3739875853061676","0.9881743518635631","12.007065508863889","0.4318817315638686","0.4784520089998841","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.49833333333333335","1"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13902","icgp_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","1322795775229477730","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","0.9688529968261719","0.9926304817199707","0","0","0","0","0","1.2318002367019654","1","0","0","0","0.6952347755432129","11.76","98","0.15808534622192383","0.35607147216796875","0.9845248488709331","11.758030429366045","0.7166820750489376","0.4789289291377883","15.635221682213324","0.10561224489795919","0.04081632653061224","0.28355261577198243","0.42129171099741847","0.47882603570058635","0.5625592510006865","0.8520408163265306","2"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13902","passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","1322795775229477730","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","0.9688529968261719","0.9926304817199707","0","0","0","0","0","1.2318002367019654","1","0","1","0","0.5063604116439819","12.719999999999999","106","0.116895891726017","0.306986004114151","0.9885569298639894","11.708934347960167","0.6249089390687416","0.43109459351783375","13.914750472703984","0.1400943396226415","0.09198113207547169","0.22188988631766923","0.331149859952758","0.3637633965417461","0.5499716417913167","0.714622641509434","2"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13902","residual_passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","1322795775229477730","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","0.9688529968261719","0.9926304817199707","0","0","0","0","0","1.2318002367019654","1","0","0","0","0.7453323006629944","12.12","101","0.17781051993370056","0.3363536298274994","0.9825939293950796","12.053380276658572","0.742716291046812","0.4720830977732998","15.526863366554464","0.12673267326732673","0.10891089108910891","0.29104673093682754","0.3781005359684476","0.4341409023047083","0.5445845236105494","0.8193069306930693","2"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13902","rvo_reactive","clean","0.0","0.0","neighbor_gaussian_v1","1322795775229477730","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","0.9688529968261719","0.9926304817199707","0","0","0","0","0","1.2318002367019654","1","0","0","0","0.8402754449844361","17.52","146","0.11336913704872131","0.32500165700912476","0.9889021683484316","12.31039436757419","0.38284112455495567","0.35215281061062664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4520547945205479","2"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13919","icgp_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","12136675986678684304","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","1.0009713172912598","0.9696154594421387","0","0","0","0","0","1.2077172183990479","1","0","1","0","0.5112671256065369","13.44","112","0.11929932236671448","0.32629677653312683","0.9883331693708897","12.003524735104293","0.6666894745334763","0.4096455056527962","10.855426343498818","0.084375","0.05357142857142857","0.3015281756390218","0.4322435533281948","0.5080525484973831","0.5393575100308018","0.7790178571428571","3"
"corridor","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","13919","passive_rvo_mpc","clean","0.0","0.0","neighbor_gaussian_v1","12136675986678684304","12.0","5.4","64.80000000000001","0.061728395061728385","16.200000000000003","x","y","4.140000000000001","0.9661835748792269","1.0009713172912598","0.9696154594421387","0","0","0","0","0","1.2077172183990479","1","0","1","0","0.5009498596191406","13.08","109","0.12735053896903992","0.3688808083534241","0.9875458041206002","11.745949020725675","0.6641947732735831","0.4524878268277472","10.149657108966228","0.14403669724770643","0.10091743119266056","0.2264884649654594","0.3339682753616517","0.36677004370120686","0.5513742139388661","0.6903669724770642","3"
