noise_level,scenario,robots,seed,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,1.0,-1.0,1.0
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9874607315286994,0.9847574764862655,0.0027032550424338497,0.0027032550424338497
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1284705400466919,0.1561666280031204,-0.0276960879564285,0.0276960879564285
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.6,13.32,-0.7200000000000006,0.7200000000000006
clean,corridor,4,13936,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.533781886100769,0.5120435953140259,0.021738290786743164,0.021738290786743164
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9876284692436456,0.9843895994126796,0.003238869830965996,0.003238869830965996
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1264371573925018,0.1595384329557418,-0.033101275563239996,0.033101275563239996
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.88,14.64,-2.76,2.76
clean,corridor,4,13953,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.6693981885910034,0.6804435849189758,-0.011045396327972412,-0.011045396327972412
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9880755115300416,0.9846808006986976,0.0033947108313440166,0.0033947108313440166
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1219501122832298,0.1566673517227172,-0.0347172394394874,0.0347172394394874
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.84,11.88,0.9599999999999991,-0.9599999999999991
clean,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.4970448613166809,0.6189442276954651,-0.12189936637878418,-0.12189936637878418
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.988017177209258,0.9853024519979954,0.002714725211262592,0.002714725211262592
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1225725710391998,0.1503415554761886,-0.027768984436988803,0.027768984436988803
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.36,12.12,0.2400000000000002,-0.2400000000000002
clean,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5243379473686218,0.547603189945221,-0.02326524257659912,-0.02326524257659912
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
