noise_level,comparison,metric,direction,paired_cases,mean_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,mean_signed_improvement,primary_better_rate
high,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,0.011377567510741452,0.003933768072456582,0.019286135543661657,0.0040995900409959,0.011377567510741452,0.5041666666666667
high,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.05,0.008333333333333333,0.09166666666666666,0.024697530246975304,-0.05,0.025
high,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.03333333333333333,0.0,0.06666666666666667,0.09829017098290171,0.03333333333333333,0.05416666666666667
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,0.025,0.0,0.05,0.11208879112088792,-0.025,0.008333333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.09800000000000005,-0.39501249999999993,0.20001249999999982,0.5218478152184781,0.09800000000000005,0.25
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.04265522332862019,-0.11952817831033219,0.03231205820649241,0.27407259274072593,0.04265522332862019,0.4791666666666667
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.014567288840558967,-0.02765570373192029,-0.0015856591559011857,0.0268973102689731,-0.014567288840558967,0.42916666666666664
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.004065298281299571,-0.003073681790750318,0.011525811900113075,0.27997200279972,0.004065298281299571,0.4791666666666667
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,0.0375,-0.008333333333333333,0.08333333333333333,0.1481851814818518,-0.0375,0.04583333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,0.0,-0.029166666666666667,0.029166666666666667,1.0,0.0,0.029166666666666667
high,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,0.025,-0.004166666666666667,0.058333333333333334,0.17618238176182383,-0.025,0.016666666666666666
high,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,-0.11900000000000006,-0.48450000000000004,0.2655124999999997,0.5382461753824618,0.11900000000000006,0.3125
high,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.23154831919819116,0.13688527936891964,0.32689395448270564,9.999000099990002e-05,-0.23154831919819116,0.5625
high,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.0499305887996826,-0.06613908204093621,-0.03436908830229509,9.999000099990002e-05,-0.0499305887996826,0.36666666666666664
high,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.02221484656911343,-0.03158759431476937,-0.01326384124093844,9.999000099990002e-05,-0.02221484656911343,0.5625
high,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,0.016666666666666666,-0.025,0.058333333333333334,0.5322467753224678,-0.016666666666666666,0.041666666666666664
high,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.008333333333333333,-0.0375,0.020833333333333332,0.7842215778422158,-0.008333333333333333,0.025
low,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332,0.49675032496750327,-0.008333333333333333,0.0
low,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.8889999999999998,-1.3065124999999997,-0.4904999999999999,9.999000099990002e-05,0.8889999999999998,0.325
low,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.1604005874445041,-0.27569400139075395,-0.04851702857762579,0.006199380061993801,0.1604005874445041,0.5875
low,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,0.011484634948706203,-0.00046764705200843506,0.023703780957555362,0.0678932106789321,0.011484634948706203,0.5166666666666667
low,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,0.015316670799317466,0.004463102826945639,0.02607661699866489,0.0051994800519948,0.015316670799317466,0.5875
low,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,-0.03333333333333333,-0.075,0.008333333333333333,0.16268373162683733,0.03333333333333333,0.07083333333333333
low,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.07916666666666666,0.0375,0.12083333333333333,9.999000099990002e-05,0.07916666666666666,0.09583333333333334
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332,0.49945005499450057,-0.008333333333333333,0.0
