scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,architecture,candidate_conditioned,feature_key,planner_method,training_seed,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,plain_candidate,clean,0.0,0.0,neighbor_gaussian_v1,11764292532572745133,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,1,0,0.5123412609100342,13.44,112,0.1263538151979446,0.3771834671497345,0.9876249488443136,11.798127619898878,0.741915969452488,0.5136512094509921,0.1655953122151134,0.1924107142857143,0.1361607142857142,0.2003579327785077,0.3281065962370486,0.3842628979829273,0.5153078262933664,0.6852678571428571,plain,1,x_intent,icgp_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,plain_zero,clean,0.0,0.0,neighbor_gaussian_v1,11764292532572745133,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.6825004816055298,10.92,91,0.1977118849754333,0.362498015165329,0.9806361626833676,10.490251617389733,0.5873865825789315,0.4355412784012055,0.2023887364475241,0.3192307692307692,0.239010989010989,0.1650635318408955,0.2905239000396578,0.3148830833642201,0.5592606178057062,0.489010989010989,plain,0,x_passive,passive_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,residual_candidate,clean,0.0,0.0,neighbor_gaussian_v1,11764292532572745133,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.6878558993339539,12.84,107,0.1303639858961105,0.3248185813426971,0.9872321942821144,10.822733706809233,0.5861376649814345,0.3858513503735798,0.2932906542223591,0.2467289719626168,0.1845794392523364,0.1801619132136421,0.3287403270114805,0.3605674866329286,0.6251369070561132,0.3714953271028037,residual,1,x_intent,icgp_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,residual_zero,clean,0.0,0.0,neighbor_gaussian_v1,11764292532572745133,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.7022035717964172,15.48,129,0.1058474704623222,0.2770148813724518,0.9896333338692784,10.888297040975884,0.6246946018311924,0.4223150312720054,0.27791608658316,0.2503875968992248,0.2073643410852713,0.1695431204893908,0.2911550414839456,0.32520418057146,0.581910221175861,0.3449612403100775,residual,0,x_passive,residual_passive_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,plain_candidate,low,0.02,0.04,neighbor_gaussian_v1,14148272580226645708,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,1,0,0.4992639422416687,14.04,117,0.1362225115299224,0.3795162141323089,0.9866584120318294,11.85156516864663,0.6603777285378712,0.471938943140145,0.1930861105012078,0.202991452991453,0.1474358974358974,0.2148422113384128,0.3543326391381586,0.3926862505689645,0.552847847031732,0.6581196581196581,plain,1,x_intent,icgp_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,plain_zero,low,0.02,0.04,neighbor_gaussian_v1,14148272580226645708,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.6692391037940979,13.32,111,0.134267970919609,0.3738109171390533,0.9868498388677835,11.612664594431408,0.6641989982779231,0.4737612896070287,0.1893626132178716,0.1941441441441441,0.1644144144144144,0.211503454087772,0.3226654962503963,0.3616736198404618,0.4833834428615399,0.6576576576576577,plain,0,x_passive,passive_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,residual_candidate,low,0.02,0.04,neighbor_gaussian_v1,14148272580226645708,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.798115074634552,12.6,105,0.1065017506480217,0.277208536863327,0.9895692532882094,10.875241886882575,0.5648424757633447,0.3806175143546647,0.2863419050949493,0.2423809523809524,0.1666666666666666,0.1912617131134584,0.3399045454604285,0.3690312944338434,0.6208836761883326,0.3928571428571428,residual,1,x_intent,icgp_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,residual_zero,low,0.02,0.04,neighbor_gaussian_v1,14148272580226645708,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.7312151789665222,12.96,108,0.1135214120149612,0.3634674549102783,0.9888817500323056,10.825470419134945,0.7286492866351856,0.4744159240292868,0.2854768525274401,0.2708333333333333,0.2013888888888889,0.1897849045654638,0.3093026243181278,0.3420816787501313,0.6579247784007478,0.3819444444444444,residual,0,x_passive,residual_passive_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,plain_candidate,medium,0.05,0.1,neighbor_gaussian_v1,6913226770885766893,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.6792750358581543,11.64,97,0.1606394648551941,0.3784554004669189,0.9842670243233442,11.322236473090015,0.8311737929806882,0.6644745592757598,0.2080487107171571,0.1695876288659794,0.1005154639175257,0.2220109152792443,0.3567377652535118,0.4225228576085615,0.5466539996831687,0.7628865979381443,plain,1,x_intent,icgp_rvo_mpc,7,10
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14038,plain_zero,medium,0.05,0.1,neighbor_gaussian_v1,6913226770885766893,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9671063423156738,1.0031108856201172,0,0,0,0,0,1.212473192214966,1,0,0,0,0.6454863548278809,13.32,111,0.1128437742590904,0.3142586648464203,0.988948117941618,12.105710958014242,0.8076626435761247,0.643996065935573,0.2018018027343829,0.2333333333333333,0.1711711711711711,0.2242032166712221,0.3237064649473439,0.3871771250034237,0.5000434033639796,0.6891891891891891,plain,0,x_passive,passive_rvo_mpc,7,10
