scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,architecture,candidate_conditioned,feature_key,planner_method,training_seed,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,plain_candidate,clean,0.0,0.0,neighbor_gaussian_v1,10464527560624995820,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,1,0,0.4950858950614929,13.8,115,0.112367607653141,0.3727156221866607,0.9889796813949944,11.861330371233636,0.6592514291365186,0.4236596520504226,0.167629782378714,0.18,0.1260869565217391,0.219069487279362,0.3485895914862985,0.3973430180523706,0.5359601127349812,0.7065217391304348,plain,1,x_intent,icgp_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,plain_zero,clean,0.0,0.0,neighbor_gaussian_v1,10464527560624995820,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.6978138089179993,12.6,105,0.1136903762817382,0.3241355419158935,0.9888499518856406,11.723181563196704,0.6981734626283426,0.4536118819067875,0.2099083331857054,0.1880952380952381,0.1619047619047619,0.2290614139726829,0.3341168330822672,0.3780211853157905,0.5106619397827558,0.7333333333333333,plain,0,x_passive,passive_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,residual_candidate,clean,0.0,0.0,neighbor_gaussian_v1,10464527560624995820,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.7078614234924316,12.48,104,0.1321598142385482,0.3377740085124969,0.9870385844260454,10.838589244900504,0.5672304567236167,0.3774037319683255,0.2748802877389468,0.2365384615384615,0.1754807692307692,0.1929070353174868,0.3422960754942435,0.3748868503134984,0.6292578445804806,0.3870192307692308,residual,1,x_intent,icgp_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,residual_zero,clean,0.0,0.0,neighbor_gaussian_v1,10464527560624995820,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.6758784651756287,12.0,100,0.1718106120824813,0.2951577603816986,0.983149878680706,10.730069056153296,0.7400127697992138,0.4627590243797749,0.26597350006341,0.268,0.1925,0.2308819251495413,0.3391068522393703,0.3780804188072681,0.6777260515607896,0.455,residual,0,x_passive,residual_passive_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,plain_candidate,low,0.02,0.04,neighbor_gaussian_v1,14995977817875811063,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,1,0,0.5159145593643188,12.84,107,0.1240105181932449,0.3128595054149627,0.9878378165885806,11.682323681656271,0.7543433374490276,0.5188791049626943,0.2065345791286014,0.2009345794392523,0.1495327102803738,0.2028318376755603,0.3295732564722823,0.379220679985864,0.546305782335384,0.7032710280373832,plain,1,x_intent,icgp_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,plain_zero,low,0.02,0.04,neighbor_gaussian_v1,14995977817875811063,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.6405803561210632,12.36,103,0.1210378929972648,0.3323484361171722,0.9881293531507254,11.519970041583292,0.8543427426150991,0.5899219846768865,0.1993118929428057,0.2126213592233009,0.1723300970873786,0.2387400259224029,0.3421296917827962,0.3853317536297932,0.5500348174398386,0.7233009708737864,plain,0,x_passive,passive_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,residual_candidate,low,0.02,0.04,neighbor_gaussian_v1,14995977817875811063,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.7488623261451721,12.6,105,0.1128568202257156,0.2966637313365936,0.9889317024499178,10.860786840465153,0.5734928930754818,0.3944961051944466,0.2493276185954787,0.2361904761904762,0.1738095238095238,0.1920934185117838,0.3407395035049745,0.3714082331338099,0.6210468764773436,0.3833333333333333,residual,1,x_intent,icgp_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,residual_zero,low,0.02,0.04,neighbor_gaussian_v1,14995977817875811063,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.7199472188949585,12.72,106,0.1122076138854026,0.3524769246578216,0.9889953723177314,10.789711851452012,0.7321520399363747,0.4615167563491202,0.2813686315796144,0.2693396226415094,0.2099056603773585,0.2038010759011596,0.3252461151469428,0.3629005919762377,0.6586868099446567,0.3891509433962264,residual,0,x_passive,residual_passive_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,plain_candidate,medium,0.05,0.1,neighbor_gaussian_v1,16651300316850770846,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.6351656913757324,10.92,91,0.1657265126705169,0.2972767651081085,0.9837465696036816,10.619223216315731,0.8464220265888578,0.6714623319701507,0.213018956576259,0.2021978021978022,0.1483516483516483,0.1967853955166148,0.3337976830706491,0.4004675148214612,0.5875193687389185,0.7445054945054945,plain,1,x_intent,icgp_rvo_mpc,7,15
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14123,plain_zero,medium,0.05,0.1,neighbor_gaussian_v1,16651300316850770846,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,1.001272678375244,0.973764419555664,0,0,0,0,0,1.2175319576263428,1,0,0,0,0.6402626633644104,12.24,102,0.1244374364614486,0.2894791960716247,0.9877959471195936,11.588101184926929,0.9269766728667652,0.6990133909983378,0.2298791675689155,0.1848039215686274,0.1446078431372549,0.2373877925801949,0.331606261925224,0.4191608516426356,0.5132636703726123,0.7843137254901961,plain,0,x_passive,passive_rvo_mpc,7,15
