scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,architecture,candidate_conditioned,feature_key,planner_method,training_seed,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_candidate,medium,0.05,0.1,neighbor_gaussian_v1,4822820517679542097,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7477105855941772,12.24,102,0.1199044287204742,0.2863009572029114,0.9882676787674428,10.8239899725304,0.5896661245976301,0.4540095734318681,0.2821676467896859,0.2455882352941176,0.1838235294117647,0.1844197944161372,0.3329373197622743,0.3617279345659064,0.638763724493922,0.4240196078431372,residual,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_zero,medium,0.05,0.1,neighbor_gaussian_v1,4822820517679542097,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7156490683555603,11.88,99,0.1143592223525047,0.2971174120903015,0.9888102617114782,10.652256296409178,0.72933714590835,0.5202694432998095,0.288885355176818,0.2904040404040404,0.2095959595959595,0.2305249938701815,0.3403317771566034,0.3770044184363249,0.6725872056231355,0.4444444444444444,residual,0,x_passive,residual_passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_candidate,high,0.1,0.2,neighbor_gaussian_v1,803779101624663965,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7267165780067444,11.88,99,0.1265969723463058,0.37505903840065,0.9876128314062952,10.455887699383313,0.5762794844222942,0.5038341446262267,0.2072166668832057,0.2363636363636363,0.1262626262626262,0.1528508441360911,0.3253255634536646,0.3622914845744768,0.6564941790067789,0.3257575757575757,plain,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,plain_zero,high,0.1,0.2,neighbor_gaussian_v1,803779101624663965,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.6566012501716614,13.68,114,0.1108151823282241,0.2992112636566162,0.9891570368781686,11.452070970612112,0.8864793840942806,0.7035232759448454,0.2021146927992895,0.2320175438596491,0.1578947368421052,0.2029855996546777,0.3260646163214717,0.3663588187124645,0.5073081832705882,0.5394736842105263,plain,0,x_passive,passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_candidate,high,0.1,0.2,neighbor_gaussian_v1,803779101624663965,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7151430249214172,12.84,107,0.1302377134561538,0.3129228949546814,0.9872565949335694,10.963530053239085,0.6384536279883577,0.5101629283396684,0.3123761685924152,0.2471962616822429,0.1869158878504672,0.172134504458719,0.3236038779098296,0.3533235749546612,0.6123935805873894,0.338785046728972,residual,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13953,residual_zero,high,0.1,0.2,neighbor_gaussian_v1,803779101624663965,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.9630751609802246,0.9859466552734376,0,0,0,0,0,1.2170021915435791,1,0,0,0,0.7448990941047668,10.68,89,0.2179146707057953,0.3539688885211944,0.9786776434630156,10.403530389943626,0.6407738482524651,0.555207027533102,0.2830985951854774,0.2269662921348314,0.1601123595505618,0.1887821757345554,0.309844517669316,0.3447930123682102,0.5593499885013934,0.4157303370786517,residual,0,x_passive,residual_passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17953,plain_candidate,clean,0.0,0.0,neighbor_gaussian_v1,14608217814299948367,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.988222599029541,0.9863553047180176,0,0,0,0,0,0.6885588765144348,0,0,0,0,0.6481407880783081,26.4,220,0.676952600479126,1.2892217636108398,0.9331304430961608,14.610604220571986,0.9642767456444828,0.9080985215577212,0.0988610794262389,0.5818181818181818,0.4278409090909091,-0.1286795454233228,0.0407460608548399,0.048364321373911,0.4526753646707671,0.7301136363636364,plain,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17953,plain_zero,clean,0.0,0.0,neighbor_gaussian_v1,14608217814299948367,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.988222599029541,0.9863553047180176,0,0,0,0,0,0.6885588765144348,0,0,0,0,0.6418066024780273,26.4,220,0.716118574142456,1.573772668838501,0.9292616173624992,14.16939287353307,1.0058218316259708,0.9923459127545357,0.0969991478500146,0.5339772727272727,0.3926136363636364,-0.0763929992057065,0.0330097291934388,0.0368562467766248,0.4330309113507921,0.7397727272727272,plain,0,x_passive,passive_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17953,residual_candidate,clean,0.0,0.0,neighbor_gaussian_v1,14608217814299948367,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.988222599029541,0.9863553047180176,0,0,0,0,0,0.6885588765144348,0,0,0,0,0.6175934672355652,26.4,220,0.7337906360626221,1.460789918899536,0.9275159686803818,13.739822970739624,0.9179288504475897,0.8678419624878602,0.138433408937999,0.3948863636363636,0.2630681818181818,-0.0344737524681893,0.1149500254348597,0.1293000971949236,0.4810466591239992,0.7306818181818182,residual,1,x_intent,icgp_rvo_mpc,7,5
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17953,residual_zero,clean,0.0,0.0,neighbor_gaussian_v1,14608217814299948367,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.988222599029541,0.9863553047180176,0,0,0,0,0,0.6885588765144348,0,0,0,0,0.6176069974899292,26.4,220,0.6737966537475586,1.1635992527008057,0.9334421902894974,14.773922174390464,0.9850732024420392,0.9591703087091444,0.1328273298647466,0.4378409090909091,0.3176136363636364,-0.0322043212152573,0.0692055183118209,0.0726795225235718,0.4318695705810731,0.7954545454545454,residual,0,x_passive,residual_passive_rvo_mpc,7,5
