time_s,robot_id,model_name,pose_topic,x,y,yaw,bridge_source,odom_mode,start_x,start_y,start_error_m,within_start_tolerance
13.100000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.100000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.200000,robot1,robot1,/robot1/ground_truth_pose,-2.199938,-0.900173,0.287948,model_states,world,-2.200000,-0.900000,0.000184,True
13.200000,robot2,robot2,/robot2/ground_truth_pose,-2.199949,0.299709,-0.158707,model_states,world,-2.200000,0.300000,0.000296,True
13.200000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.200000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.300000,robot1,robot1,/robot1/ground_truth_pose,-2.199938,-0.900172,0.287962,model_states,world,-2.200000,-0.900000,0.000183,True
13.300000,robot2,robot2,/robot2/ground_truth_pose,-2.199949,0.299709,-0.158719,model_states,world,-2.200000,0.300000,0.000296,True
13.300000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.300000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.400000,robot1,robot1,/robot1/ground_truth_pose,-2.199939,-0.900172,0.287974,model_states,world,-2.200000,-0.900000,0.000183,True
13.400000,robot2,robot2,/robot2/ground_truth_pose,-2.199949,0.299709,-0.158732,model_states,world,-2.200000,0.300000,0.000295,True
13.400000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.400000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.500000,robot1,robot1,/robot1/ground_truth_pose,-2.199939,-0.900172,0.287987,model_states,world,-2.200000,-0.900000,0.000182,True
13.500000,robot2,robot2,/robot2/ground_truth_pose,-2.199949,0.299710,-0.158744,model_states,world,-2.200000,0.300000,0.000295,True
13.500000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.500000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.600000,robot1,robot1,/robot1/ground_truth_pose,-2.199939,-0.900171,0.287999,model_states,world,-2.200000,-0.900000,0.000182,True
13.600000,robot2,robot2,/robot2/ground_truth_pose,-2.199948,0.299710,-0.158756,model_states,world,-2.200000,0.300000,0.000295,True
13.600000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.600000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.700000,robot1,robot1,/robot1/ground_truth_pose,-2.199939,-0.900171,0.288011,model_states,world,-2.200000,-0.900000,0.000182,True
13.700000,robot2,robot2,/robot2/ground_truth_pose,-2.199948,0.299710,-0.158768,model_states,world,-2.200000,0.300000,0.000295,True
13.700000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.700000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.800000,robot1,robot1,/robot1/ground_truth_pose,-2.200064,-0.899802,0.288303,model_states,world,-2.200000,-0.900000,0.000208,True
13.800000,robot2,robot2,/robot2/ground_truth_pose,-2.199948,0.299711,-0.158781,model_states,world,-2.200000,0.300000,0.000294,True
13.800000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.800000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
13.900000,robot1,robot1,/robot1/ground_truth_pose,-2.200014,-0.899951,0.288256,model_states,world,-2.200000,-0.900000,0.000050,True
13.900000,robot2,robot2,/robot2/ground_truth_pose,-2.199948,0.299711,-0.158792,model_states,world,-2.200000,0.300000,0.000294,True
13.900000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
13.900000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.000000,robot1,robot1,/robot1/ground_truth_pose,-2.200005,-0.899978,0.288292,model_states,world,-2.200000,-0.900000,0.000023,True
14.000000,robot2,robot2,/robot2/ground_truth_pose,-2.199948,0.299711,-0.158804,model_states,world,-2.200000,0.300000,0.000294,True
14.000000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.000000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.100000,robot1,robot1,/robot1/ground_truth_pose,-2.200004,-0.899981,0.288311,model_states,world,-2.200000,-0.900000,0.000019,True
14.100000,robot2,robot2,/robot2/ground_truth_pose,-2.199947,0.299712,-0.158816,model_states,world,-2.200000,0.300000,0.000293,True
14.100000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.100000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.200000,robot1,robot1,/robot1/ground_truth_pose,-2.200004,-0.899981,0.288335,model_states,world,-2.200000,-0.900000,0.000019,True
14.200000,robot2,robot2,/robot2/ground_truth_pose,-2.199947,0.299712,-0.158827,model_states,world,-2.200000,0.300000,0.000293,True
14.200000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.200000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.300000,robot1,robot1,/robot1/ground_truth_pose,-2.200005,-0.899981,0.288360,model_states,world,-2.200000,-0.900000,0.000019,True
14.300000,robot2,robot2,/robot2/ground_truth_pose,-2.199947,0.299712,-0.158839,model_states,world,-2.200000,0.300000,0.000293,True
14.300000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
