time_s,robot_i,robot_j,distance_m
1.4500000000000002,robot1,robot2,1.1996870154441324
1.4500000000000002,robot1,robot3,4.404623396277711
1.4500000000000002,robot1,robot4,4.681885524341341
1.4500000000000002,robot2,robot3,4.512089185348983
1.4500000000000002,robot2,robot4,4.418050476912102
1.4500000000000002,robot3,robot4,1.4
1.5,robot1,robot2,1.1996870155244659
1.5,robot1,robot3,4.404623396277711
1.5,robot1,robot4,4.681885524341341
1.5,robot2,robot3,4.512088697781217
1.5,robot2,robot4,4.418049978966399
1.5,robot3,robot4,1.4
1.55,robot1,robot2,1.199686515605014
1.55,robot1,robot3,4.4046238730863845
1.55,robot1,robot4,4.681885823400919
1.55,robot2,robot3,4.512088697781217
1.55,robot2,robot4,4.418049978966399
1.55,robot3,robot4,1.4
1.6,robot1,robot2,1.1996860156857712
1.6,robot1,robot3,4.40462434989512
1.6,robot1,robot4,4.681886122460584
1.6,robot2,robot3,4.512088697781217
1.6,robot2,robot4,4.418049978966399
1.6,robot3,robot4,1.4
1.6500000000000001,robot1,robot2,1.1996865156857646
1.6500000000000001,robot1,robot3,4.40462434989512
1.6500000000000001,robot1,robot4,4.681886122460584
1.6500000000000001,robot2,robot3,4.512088808585914
1.6500000000000001,robot2,robot4,4.418049933688646
1.6500000000000001,robot3,robot4,1.4
1.7000000000000002,robot1,robot2,1.199687015685758
1.7000000000000002,robot1,robot3,4.40462434989512
1.7000000000000002,robot1,robot4,4.681886122460584
1.7000000000000002,robot2,robot3,4.5120889193906635
1.7000000000000002,robot2,robot4,4.418049888410949
1.7000000000000002,robot3,robot4,1.4
1.75,robot1,robot2,1.199687015685758
1.75,robot1,robot3,4.40462434989512
1.75,robot1,robot4,4.681886122460584
1.75,robot2,robot3,4.5120889193906635
1.75,robot2,robot4,4.418049888410949
1.75,robot3,robot4,1.4
1.8,robot1,robot2,1.199687015685758
1.8,robot1,robot3,4.40462434989512
1.8,robot1,robot4,4.681886122460584
1.8,robot2,robot3,4.5120889193906635
1.8,robot2,robot4,4.418049888410949
1.8,robot3,robot4,1.4
1.85,robot1,robot2,1.19968651584789
1.85,robot1,robot3,4.404624826703916
1.85,robot1,robot4,4.681886421520336
1.85,robot2,robot3,4.5120884318229235
1.85,robot2,robot4,4.418049390465236
1.85,robot3,robot4,1.4
1.9000000000000001,robot1,robot2,1.199686016010856
1.9000000000000001,robot1,robot3,4.404625303512774
1.9000000000000001,robot1,robot4,4.681886720580176
1.9000000000000001,robot2,robot3,4.512087944255187
1.9000000000000001,robot2,robot4,4.418048892519525
1.9000000000000001,robot3,robot4,1.4
1.9500000000000002,robot1,robot2,1.1996865160108494
1.9500000000000002,robot1,robot3,4.404625303512774
1.9500000000000002,robot1,robot4,4.681886720580176
1.9500000000000002,robot2,robot3,4.512088055060013
1.9500000000000002,robot2,robot4,4.418048847241874
1.9500000000000002,robot3,robot4,1.4
2.0,robot1,robot2,1.1996870160108426
2.0,robot1,robot3,4.404625303512774
2.0,robot1,robot4,4.681886720580176
