time_s,robot_i,robot_j,distance_m
18.800000000000008,robot1,robot2,1.6296496604393231
18.800000000000008,robot1,robot3,1.8680253843162822
18.800000000000008,robot1,robot4,2.610030058840894
18.800000000000008,robot2,robot3,1.987799504614082
18.800000000000008,robot2,robot4,1.3676115124365527
18.800000000000008,robot3,robot4,1.7526973141592361
18.85000000000001,robot1,robot2,1.6326571678562838
18.85000000000001,robot1,robot3,1.8555192119375217
18.85000000000001,robot1,robot4,2.6100304155557748
18.85000000000001,robot2,robot3,1.9703490240074824
18.85000000000001,robot2,robot4,1.355295436258178
18.85000000000001,robot3,robot4,1.7533927367177327
18.90000000000001,robot1,robot2,1.6357613350852875
18.90000000000001,robot1,robot3,1.8430130556404096
18.90000000000001,robot1,robot4,2.6100307722707026
18.90000000000001,robot2,robot3,1.953072008803821
18.90000000000001,robot2,robot4,1.3429908777798876
18.90000000000001,robot3,robot4,1.754177064344703
18.950000000000006,robot1,robot2,1.6389516425552348
18.950000000000006,robot1,robot3,1.8430732454805614
18.950000000000006,robot1,robot4,2.610032173724301
18.950000000000006,robot2,robot3,1.9444301787017824
18.950000000000006,robot2,robot4,1.3309589666073465
18.950000000000006,robot3,robot4,1.754796643587584
19.000000000000007,robot1,robot2,1.6422329630019006
19.000000000000007,robot1,robot3,1.843133646293182
19.000000000000007,robot1,robot4,2.6100335751786794
19.000000000000007,robot2,robot3,1.9358305871682047
19.000000000000007,robot2,robot4,1.3189382926619406
19.000000000000007,robot3,robot4,1.7554162275090202
19.050000000000008,robot1,robot2,1.6459410939672177
19.050000000000008,robot1,robot3,1.843059079113445
19.050000000000008,robot1,robot4,2.6100346326206574
19.050000000000008,robot2,robot3,1.927637024302681
19.050000000000008,robot2,robot4,1.3069221334449292
19.050000000000008,robot3,robot4,1.7561640069974245
19.10000000000001,robot1,robot2,1.6497359328844123
19.10000000000001,robot1,robot3,1.8429848126351989
19.10000000000001,robot1,robot4,2.6100356900626855
19.10000000000001,robot2,robot3,1.919490452507122
19.10000000000001,robot2,robot4,1.2949155340673753
19.10000000000001,robot3,robot4,1.7569117872747628
19.15000000000001,robot1,robot2,1.6539987949388757
19.15000000000001,robot1,robot3,1.8424567180176852
19.15000000000001,robot1,robot4,2.610034645322596
19.15000000000001,robot2,robot3,1.9112350612586209
19.15000000000001,robot2,robot4,1.282805397410104
19.15000000000001,robot3,robot4,1.7574607290637394
19.200000000000006,robot1,robot2,1.6583452571720407
19.200000000000006,robot1,robot3,1.8419287714919923
19.200000000000006,robot1,robot4,2.6100336005837166
19.200000000000006,robot2,robot3,1.903033014822653
19.200000000000006,robot2,robot4,1.2707032888322103
19.200000000000006,robot3,robot4,1.7580098124259718
19.250000000000007,robot1,robot2,1.6631410698537428
19.250000000000007,robot1,robot3,1.842538991636066
19.250000000000007,robot1,robot4,2.610032199130884
19.250000000000007,robot2,robot3,1.8959702818157504
19.250000000000007,robot2,robot4,1.2585119588697777
19.250000000000007,robot3,robot4,1.7586216274620448
19.300000000000008,robot1,robot2,1.668017109902654
19.300000000000008,robot1,robot3,1.8431494363770398
19.300000000000008,robot1,robot4,2.610030797678832
19.300000000000008,robot2,robot3,1.8889561860183512
19.300000000000008,robot2,robot4,1.2463272393717453
19.300000000000008,robot3,robot4,1.7592336781704128
19.35000000000001,robot1,robot2,1.673332961020984
19.35000000000001,robot1,robot3,1.8425120674899933
19.35000000000001,robot1,robot4,2.610030460021348
19.35000000000001,robot2,robot3,1.8811528676889857
19.35000000000001,robot2,robot4,1.2340530249648898
19.35000000000001,robot3,robot4,1.759416240715795
19.40000000000001,robot1,robot2,1.6787255689852956
19.40000000000001,robot1,robot3,1.8418747108487048
19.40000000000001,robot1,robot4,2.6100301223650657
19.40000000000001,robot2,robot3,1.8734096593252088
19.40000000000001,robot2,robot4,1.2217841215943157
19.40000000000001,robot3,robot4,1.759599027150504
19.450000000000006,robot1,robot2,1.6845472553678194
19.450000000000006,robot1,robot3,1.841989308783645
19.450000000000006,robot1,robot4,2.6100311798057603
19.450000000000006,robot2,robot3,1.866622904783528
19.450000000000006,robot2,robot4,1.2094562949559176
19.450000000000006,robot3,robot4,1.7598917737216115
19.500000000000007,robot1,robot2,1.6904416735906636
19.500000000000007,robot1,robot3,1.8421039550332114
19.500000000000007,robot1,robot4,2.610032237246506
19.500000000000007,robot2,robot3,1.8598943385195292
19.500000000000007,robot2,robot4,1.1971325088167961
19.500000000000007,robot3,robot4,1.7601845296459686
