time_s,robot_id,method,vx_cmd,wz_cmd,acc_x,acc_y,latency_ms,fallback,fallback_reason,goal_distance_m
38.000000,robot2,icgp_rvo_mpc,0.059304,0.341983,0.168821,0.417132,211.004171,False,,4.314181
38.000000,robot3,icgp_rvo_mpc,0.045489,-1.188426,-0.414970,0.174069,155.420055,False,,4.565746
38.000000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.439899,-0.094808,238.986522,False,,4.487475
38.000000,robot1,icgp_rvo_mpc,0.081362,-0.095347,0.173790,-0.415087,128.746935,False,,4.462217
38.000000,robot2,icgp_rvo_mpc,0.070445,-1.250880,0.445534,-0.063239,132.760604,False,,4.314181
38.000000,robot3,icgp_rvo_mpc,0.045489,-1.188426,-0.414970,0.174069,352.601605,False,,4.565746
38.000000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.439899,-0.094808,261.958997,False,,4.487475
38.900000,robot1,icgp_rvo_mpc,0.080353,1.152943,0.406217,0.193618,218.142461,False,,4.450443
38.900000,robot2,icgp_rvo_mpc,0.068801,-1.135848,0.437936,-0.103499,289.883263,False,,4.292469
38.900000,robot3,icgp_rvo_mpc,0.060398,1.282218,-0.327481,-0.296422,315.130111,False,,4.546893
38.900000,robot4,icgp_rvo_mpc,0.017454,1.600000,-0.442645,-0.081030,277.855578,False,,4.487405
39.500000,robot1,icgp_rvo_mpc,0.081018,0.672975,0.408656,0.188414,203.047559,False,,4.434892
39.500000,robot2,icgp_rvo_mpc,0.087044,0.673472,0.336557,0.201939,188.920657,False,,4.263669
39.500000,robot3,icgp_rvo_mpc,0.020888,1.600000,-0.131398,-0.430389,355.906125,False,,4.531188
39.500000,robot4,icgp_rvo_mpc,0.026131,-1.600000,-0.043155,0.447926,124.181093,False,,4.487685
40.100000,robot1,icgp_rvo_mpc,0.115422,0.135808,0.408228,0.189341,147.778679,False,,4.398062
40.100000,robot2,icgp_rvo_mpc,0.109581,0.545982,0.442805,-0.080150,239.442569,False,,4.222886
40.100000,robot3,icgp_rvo_mpc,0.066710,0.838421,-0.140380,-0.427543,279.287655,False,,4.506155
40.100000,robot4,icgp_rvo_mpc,0.010224,-1.600000,-0.033664,0.448739,226.252344,False,,4.482311
40.600000,robot1,icgp_rvo_mpc,0.100319,-0.898577,0.175673,-0.414294,261.581284,False,,4.360315
40.600000,robot2,icgp_rvo_mpc,0.060558,1.308807,0.148027,0.424957,130.532435,False,,4.194692
40.600000,robot3,icgp_rvo_mpc,0.044364,1.313065,-0.132751,-0.429974,223.017918,False,,4.501290
40.600000,robot4,icgp_rvo_mpc,0.000000,-1.600000,-0.042221,0.448015,191.178031,False,,4.477909
