time_s,arrival_time_s,stamp_sec,stamp_nanosec,robot_id,frame_id,x,y,yaw,vx,vy,pose_source,source_topic,sample_age_s,time_basis
1.000000,12.900000,12,900000000,robot1,map,-2.199938,-0.900174,0.287906,-0.000001,0.000004,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.000000,12.900000,12,900000000,robot2,map,-2.199950,0.299707,-0.158669,0.000001,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.000000,12.900000,12,900000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.000000,12.900000,12,900000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.100000,13.000000,13,0,robot1,map,-2.199938,-0.900174,0.287920,-0.000001,0.000004,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.100000,13.000000,13,0,robot2,map,-2.199950,0.299708,-0.158681,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.100000,13.000000,13,0,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.100000,13.000000,13,0,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.200000,13.100000,13,100000000,robot1,map,-2.199938,-0.900173,0.287934,-0.000001,0.000004,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.200000,13.100000,13,100000000,robot2,map,-2.199949,0.299708,-0.158694,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.200000,13.100000,13,100000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.200000,13.100000,13,100000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.300000,13.200000,13,200000000,robot1,map,-2.199938,-0.900173,0.287948,-0.000001,0.000004,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.300000,13.200000,13,200000000,robot2,map,-2.199949,0.299709,-0.158707,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.300000,13.200000,13,200000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.300000,13.200000,13,200000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.400000,13.300000,13,300000000,robot1,map,-2.199938,-0.900172,0.287962,-0.000001,0.000004,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.400000,13.300000,13,300000000,robot2,map,-2.199949,0.299709,-0.158719,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.400000,13.300000,13,300000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.400000,13.300000,13,300000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.500000,13.400000,13,400000000,robot1,map,-2.199939,-0.900172,0.287974,-0.000004,0.000002,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.500000,13.400000,13,400000000,robot2,map,-2.199949,0.299709,-0.158732,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.500000,13.400000,13,400000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.500000,13.400000,13,400000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
