time_s,robot_id,x,y,yaw,vx,vy
0.0,robot1,-2.199939,-0.900172,0.288,0.0,0.0
0.0,robot2,-2.199948,0.29971,-0.158759,0.0,0.0
0.0,robot3,2.2,-0.7,2.83354,0.0,0.0
0.0,robot4,2.2,0.7,-2.96174,0.0,0.0
0.05,robot1,-2.1999482500000003,-0.90014125,0.288004,-4.65e-05,0.00015375
0.05,robot2,-2.199948,0.29971,-0.15876275,2.5e-07,5e-07
0.05,robot3,2.2,-0.7,2.83354,0.0,0.0
0.05,robot4,2.2,0.7,-2.96174,0.0,0.0
0.1,robot1,-2.1999575,-0.9001105,0.288008,-9.3e-05,0.0003075
0.1,robot2,-2.199948,0.29971,-0.1587665,5e-07,1e-06
0.1,robot3,2.2,-0.7,2.83354,0.0,0.0
0.1,robot4,2.2,0.7,-2.96174,0.0,0.0
0.15000000000000002,robot1,-2.19996675,-0.90007975,0.288012,-0.0001395,0.00046125
0.15000000000000002,robot2,-2.199948,0.29971,-0.15877025,7.5e-07,1.5e-06
0.15000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.15000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.2,robot1,-2.199976,-0.900049,0.288016,-0.000186,0.000615
0.2,robot2,-2.199948,0.29971,-0.158774,1e-06,2e-06
0.2,robot3,2.2,-0.7,2.83354,-0.0,-0.0
0.2,robot4,2.2,0.7,-2.96174,0.0,-0.0
0.25,robot1,-2.20001,-0.899961,0.288133,-0.00043349999999999997,0.0011865
0.25,robot2,-2.199948,0.2997105,-0.15878,1e-06,3e-06
0.25,robot3,2.2,-0.7,2.83354,0.0,0.0
0.25,robot4,2.2,0.7,-2.96174,0.0,0.0
0.30000000000000004,robot1,-2.200044,-0.899873,0.28825,-0.0006809999999999994,0.0017579999999999985
0.30000000000000004,robot2,-2.199948,0.299711,-0.158786,1.0000000000000016e-06,3.999999999999999e-06
0.30000000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
0.30000000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
0.35000000000000003,robot1,-2.2000265,-0.899919,0.288265,-0.0001659999999999996,0.00041749999999999925
0.35000000000000003,robot2,-2.199948,0.299711,-0.1587925,2.5000000000000006e-06,2.9999999999999992e-06
0.35000000000000003,robot3,2.2,-0.7,2.83354,0.0,0.0
0.35000000000000003,robot4,2.2,0.7,-2.96174,0.0,0.0
