time_s,robot_i,robot_j,distance_m,collision,safety_violation,all_pose_fresh
14.200000,robot3,robot4,1.400000,0,0,True
14.300000,robot1,robot2,1.199693,0,0,True
14.300000,robot1,robot3,4.404547,0,0,True
14.300000,robot1,robot4,4.681878,0,0,True
14.300000,robot2,robot3,4.512090,0,0,True
14.300000,robot2,robot4,4.418118,0,0,True
14.300000,robot3,robot4,1.400000,0,0,True
14.400000,robot1,robot2,1.199693,0,0,True
14.400000,robot1,robot3,4.404547,0,0,True
14.400000,robot1,robot4,4.681878,0,0,True
14.400000,robot2,robot3,4.512090,0,0,True
14.400000,robot2,robot4,4.418118,0,0,True
14.400000,robot3,robot4,1.400000,0,0,True
14.500000,robot1,robot2,1.199694,0,0,True
14.500000,robot1,robot3,4.404547,0,0,True
14.500000,robot1,robot4,4.681878,0,0,True
14.500000,robot2,robot3,4.512090,0,0,True
14.500000,robot2,robot4,4.418118,0,0,True
14.500000,robot3,robot4,1.400000,0,0,True
14.600000,robot1,robot2,1.199693,0,0,True
14.600000,robot1,robot3,4.404548,0,0,True
14.600000,robot1,robot4,4.681878,0,0,True
14.600000,robot2,robot3,4.512090,0,0,True
14.600000,robot2,robot4,4.418117,0,0,True
14.600000,robot3,robot4,1.400000,0,0,True
14.700000,robot1,robot2,1.199694,0,0,True
14.700000,robot1,robot3,4.404548,0,0,True
14.700000,robot1,robot4,4.681879,0,0,True
14.700000,robot2,robot3,4.512090,0,0,True
14.700000,robot2,robot4,4.418117,0,0,True
14.700000,robot3,robot4,1.400000,0,0,True
14.800000,robot1,robot2,1.199694,0,0,True
14.800000,robot1,robot3,4.404549,0,0,True
14.800000,robot1,robot4,4.681879,0,0,True
14.800000,robot2,robot3,4.512090,0,0,True
14.800000,robot2,robot4,4.418117,0,0,True
14.800000,robot3,robot4,1.400000,0,0,True
14.900000,robot1,robot2,1.199693,0,0,True
14.900000,robot1,robot3,4.404549,0,0,True
14.900000,robot1,robot4,4.681879,0,0,True
14.900000,robot2,robot3,4.512090,0,0,True
14.900000,robot2,robot4,4.418117,0,0,True
14.900000,robot3,robot4,1.400000,0,0,True
15.000000,robot1,robot2,1.199694,0,0,True
15.000000,robot1,robot3,4.404549,0,0,True
15.000000,robot1,robot4,4.681880,0,0,True
15.000000,robot2,robot3,4.512089,0,0,True
15.000000,robot2,robot4,4.418116,0,0,True
15.000000,robot3,robot4,1.400000,0,0,True
15.100000,robot1,robot2,1.199694,0,0,True
15.100000,robot1,robot3,4.404550,0,0,True
15.100000,robot1,robot4,4.681880,0,0,True
15.100000,robot2,robot3,4.512090,0,0,True
15.100000,robot2,robot4,4.418116,0,0,True
15.100000,robot3,robot4,1.400000,0,0,True
15.200000,robot1,robot2,1.199694,0,0,True
15.200000,robot1,robot3,4.404550,0,0,True
15.200000,robot1,robot4,4.681880,0,0,True
15.200000,robot2,robot3,4.512089,0,0,True
15.200000,robot2,robot4,4.418116,0,0,True
15.200000,robot3,robot4,1.400000,0,0,True
15.300000,robot1,robot2,1.199694,0,0,True
15.300000,robot1,robot3,4.404550,0,0,True
15.300000,robot1,robot4,4.681880,0,0,True
15.300000,robot2,robot3,4.512089,0,0,True
15.300000,robot2,robot4,4.418115,0,0,True
15.300000,robot3,robot4,1.400000,0,0,True
15.400000,robot1,robot2,1.199694,0,0,True
15.400000,robot1,robot3,4.404551,0,0,True
15.400000,robot1,robot4,4.681880,0,0,True
15.400000,robot2,robot3,4.512089,0,0,True
15.400000,robot2,robot4,4.418115,0,0,True
15.400000,robot3,robot4,1.400000,0,0,True
15.500000,robot1,robot2,1.199694,0,0,True
15.500000,robot1,robot3,4.404551,0,0,True
15.500000,robot1,robot4,4.681881,0,0,True
15.500000,robot2,robot3,4.512089,0,0,True
15.500000,robot2,robot4,4.418115,0,0,True
15.500000,robot3,robot4,1.400000,0,0,True
15.600000,robot1,robot2,1.199694,0,0,True
15.600000,robot1,robot3,4.404552,0,0,True
15.600000,robot1,robot4,4.681881,0,0,True
15.600000,robot2,robot3,4.512089,0,0,True
15.600000,robot2,robot4,4.418115,0,0,True
15.600000,robot3,robot4,1.400000,0,0,True
15.700000,robot1,robot2,1.199694,0,0,True
15.700000,robot1,robot3,4.404552,0,0,True
15.700000,robot1,robot4,4.681881,0,0,True
15.700000,robot2,robot3,4.512089,0,0,True
15.700000,robot2,robot4,4.418115,0,0,True
15.700000,robot3,robot4,1.400000,0,0,True
15.800000,robot1,robot2,1.199694,0,0,True
15.800000,robot1,robot3,4.404552,0,0,True
15.800000,robot1,robot4,4.681881,0,0,True
15.800000,robot2,robot3,4.512089,0,0,True
15.800000,robot2,robot4,4.418114,0,0,True
15.800000,robot3,robot4,1.400000,0,0,True
15.900000,robot1,robot2,1.199694,0,0,True
15.900000,robot1,robot3,4.404553,0,0,True
15.900000,robot1,robot4,4.681882,0,0,True
15.900000,robot2,robot3,4.512088,0,0,True
15.900000,robot2,robot4,4.418114,0,0,True
15.900000,robot3,robot4,1.400000,0,0,True
16.000000,robot1,robot2,1.199694,0,0,True
16.000000,robot1,robot3,4.404553,0,0,True
16.000000,robot1,robot4,4.681882,0,0,True
16.000000,robot2,robot3,4.512089,0,0,True
16.000000,robot2,robot4,4.418114,0,0,True
16.000000,robot3,robot4,1.400000,0,0,True
16.100000,robot1,robot2,1.199694,0,0,True
16.100000,robot1,robot3,4.404553,0,0,True
16.100000,robot1,robot4,4.681882,0,0,True
16.100000,robot2,robot3,4.512088,0,0,True
16.100000,robot2,robot4,4.418114,0,0,True
16.100000,robot3,robot4,1.400000,0,0,True
16.200000,robot1,robot2,1.199694,0,0,True
16.200000,robot1,robot3,4.404554,0,0,True
16.200000,robot1,robot4,4.681882,0,0,True
16.200000,robot2,robot3,4.512088,0,0,True
16.200000,robot2,robot4,4.418113,0,0,True
16.200000,robot3,robot4,1.400000,0,0,True
16.300000,robot1,robot2,1.199694,0,0,True
16.300000,robot1,robot3,4.404554,0,0,True
16.300000,robot1,robot4,4.681883,0,0,True
16.300000,robot2,robot3,4.512088,0,0,True
16.300000,robot2,robot4,4.418113,0,0,True
16.300000,robot3,robot4,1.400000,0,0,True
16.400000,robot1,robot2,1.199694,0,0,True
16.400000,robot1,robot3,4.404554,0,0,True
16.400000,robot1,robot4,4.681883,0,0,True
16.400000,robot2,robot3,4.512087,0,0,True
16.400000,robot2,robot4,4.418113,0,0,True
16.400000,robot3,robot4,1.400000,0,0,True
16.500000,robot1,robot2,1.199694,0,0,True
16.500000,robot1,robot3,4.404555,0,0,True
16.500000,robot1,robot4,4.681883,0,0,True
16.500000,robot2,robot3,4.512087,0,0,True
16.500000,robot2,robot4,4.418112,0,0,True
16.500000,robot3,robot4,1.400000,0,0,True
16.600000,robot1,robot2,1.199694,0,0,True
16.600000,robot1,robot3,4.404555,0,0,True
16.600000,robot1,robot4,4.681883,0,0,True
16.600000,robot2,robot3,4.512087,0,0,True
16.600000,robot2,robot4,4.418112,0,0,True
16.600000,robot3,robot4,1.400000,0,0,True
16.700000,robot1,robot2,1.199694,0,0,True
16.700000,robot1,robot3,4.404555,0,0,True
16.700000,robot1,robot4,4.681883,0,0,True
16.700000,robot2,robot3,4.512087,0,0,True
16.700000,robot2,robot4,4.418111,0,0,True
16.700000,robot3,robot4,1.400000,0,0,True
16.800000,robot1,robot2,1.199694,0,0,True
16.800000,robot1,robot3,4.404556,0,0,True
16.800000,robot1,robot4,4.681884,0,0,True
16.800000,robot2,robot3,4.512087,0,0,True
16.800000,robot2,robot4,4.418111,0,0,True
16.800000,robot3,robot4,1.400000,0,0,True
16.900000,robot1,robot2,1.199694,0,0,True
16.900000,robot1,robot3,4.404556,0,0,True
16.900000,robot1,robot4,4.681884,0,0,True
16.900000,robot2,robot3,4.512086,0,0,True
16.900000,robot2,robot4,4.418111,0,0,True
16.900000,robot3,robot4,1.400000,0,0,True
17.000000,robot1,robot2,1.199694,0,0,True
17.000000,robot1,robot3,4.404556,0,0,True
17.000000,robot1,robot4,4.681884,0,0,True
17.000000,robot2,robot3,4.512086,0,0,True
17.000000,robot2,robot4,4.418111,0,0,True
17.000000,robot3,robot4,1.400000,0,0,True
17.100000,robot1,robot2,1.199694,0,0,True
17.100000,robot1,robot3,4.404557,0,0,True
17.100000,robot1,robot4,4.681884,0,0,True
17.100000,robot2,robot3,4.512086,0,0,True
17.100000,robot2,robot4,4.418111,0,0,True
17.100000,robot3,robot4,1.400000,0,0,True
17.200000,robot1,robot2,1.200096,0,0,True
17.200000,robot1,robot3,4.404557,0,0,True
17.200000,robot1,robot4,4.681884,0,0,True
17.200000,robot2,robot3,4.512118,0,0,True
17.200000,robot2,robot4,4.418016,0,0,True
17.200000,robot3,robot4,1.400000,0,0,True
17.300000,robot1,robot2,1.199933,0,0,True
17.300000,robot1,robot3,4.404557,0,0,True
17.300000,robot1,robot4,4.681885,0,0,True
17.300000,robot2,robot3,4.512092,0,0,True
17.300000,robot2,robot4,4.418041,0,0,True
17.300000,robot3,robot4,1.400000,0,0,True
17.400000,robot1,robot2,1.199895,0,0,True
17.400000,robot1,robot3,4.404558,0,0,True
17.400000,robot1,robot4,4.681885,0,0,True
17.400000,robot2,robot3,4.512090,0,0,True
17.400000,robot2,robot4,4.418051,0,0,True
17.400000,robot3,robot4,1.400000,0,0,True
17.500000,robot1,robot2,1.199890,0,0,True
17.500000,robot1,robot3,4.404558,0,0,True
17.500000,robot1,robot4,4.681885,0,0,True
17.500000,robot2,robot3,4.512090,0,0,True
17.500000,robot2,robot4,4.418052,0,0,True
17.500000,robot3,robot4,1.400000,0,0,True
17.600000,robot1,robot2,1.199889,0,0,True
17.600000,robot1,robot3,4.404558,0,0,True
17.600000,robot1,robot4,4.681885,0,0,True
17.600000,robot2,robot3,4.512090,0,0,True
17.600000,robot2,robot4,4.418052,0,0,True
17.600000,robot3,robot4,1.400000,0,0,True
17.700000,robot1,robot2,1.199889,0,0,True
17.700000,robot1,robot3,4.404559,0,0,True
17.700000,robot1,robot4,4.681886,0,0,True
17.700000,robot2,robot3,4.512090,0,0,True
17.700000,robot2,robot4,4.418052,0,0,True
17.700000,robot3,robot4,1.400000,0,0,True
17.800000,robot1,robot2,1.199889,0,0,True
17.800000,robot1,robot3,4.404559,0,0,True
17.800000,robot1,robot4,4.681886,0,0,True
17.800000,robot2,robot3,4.512090,0,0,True
17.800000,robot2,robot4,4.418052,0,0,True
17.800000,robot3,robot4,1.400000,0,0,True
17.900000,robot1,robot2,1.199889,0,0,True
17.900000,robot1,robot3,4.404559,0,0,True
17.900000,robot1,robot4,4.681886,0,0,True
17.900000,robot2,robot3,4.512090,0,0,True
17.900000,robot2,robot4,4.418051,0,0,True
17.900000,robot3,robot4,1.400000,0,0,True
18.000000,robot1,robot2,1.199889,0,0,True
18.000000,robot1,robot3,4.404559,0,0,True
18.000000,robot1,robot4,4.681886,0,0,True
18.000000,robot2,robot3,4.512089,0,0,True
18.000000,robot2,robot4,4.418051,0,0,True
18.000000,robot3,robot4,1.400000,0,0,True
18.100000,robot1,robot2,1.199889,0,0,True
18.100000,robot1,robot3,4.404560,0,0,True
18.100000,robot1,robot4,4.681886,0,0,True
18.100000,robot2,robot3,4.512089,0,0,True
18.100000,robot2,robot4,4.418051,0,0,True
18.100000,robot3,robot4,1.400000,0,0,True
18.200000,robot1,robot2,1.199889,0,0,True
18.200000,robot1,robot3,4.404560,0,0,True
18.200000,robot1,robot4,4.681886,0,0,True
18.200000,robot2,robot3,4.512089,0,0,True
18.200000,robot2,robot4,4.418051,0,0,True
18.200000,robot3,robot4,1.400000,0,0,True
18.300000,robot1,robot2,1.199889,0,0,True
18.300000,robot1,robot3,4.404560,0,0,True
18.300000,robot1,robot4,4.681887,0,0,True
18.300000,robot2,robot3,4.512089,0,0,True
18.300000,robot2,robot4,4.418050,0,0,True
18.300000,robot3,robot4,1.400000,0,0,True
18.400000,robot1,robot2,1.199889,0,0,True
18.400000,robot1,robot3,4.404561,0,0,True
18.400000,robot1,robot4,4.681887,0,0,True
18.400000,robot2,robot3,4.512089,0,0,True
18.400000,robot2,robot4,4.418050,0,0,True
18.400000,robot3,robot4,1.400000,0,0,True
18.500000,robot1,robot2,1.199889,0,0,True
18.500000,robot1,robot3,4.404561,0,0,True
18.500000,robot1,robot4,4.681887,0,0,True
18.500000,robot2,robot3,4.512089,0,0,True
18.500000,robot2,robot4,4.418050,0,0,True
18.500000,robot3,robot4,1.400000,0,0,True
18.600000,robot1,robot2,1.199890,0,0,True
18.600000,robot1,robot3,4.404561,0,0,True
18.600000,robot1,robot4,4.681887,0,0,True
18.600000,robot2,robot3,4.512088,0,0,True
18.600000,robot2,robot4,4.418049,0,0,True
18.600000,robot3,robot4,1.400000,0,0,True
18.700000,robot1,robot2,1.199889,0,0,True
18.700000,robot1,robot3,4.404562,0,0,True
18.700000,robot1,robot4,4.681887,0,0,True
18.700000,robot2,robot3,4.512088,0,0,True
18.700000,robot2,robot4,4.418049,0,0,True
18.700000,robot3,robot4,1.400000,0,0,True
18.800000,robot1,robot2,1.199890,0,0,True
18.800000,robot1,robot3,4.404562,0,0,True
18.800000,robot1,robot4,4.681888,0,0,True
18.800000,robot2,robot3,4.512088,0,0,True
18.800000,robot2,robot4,4.418049,0,0,True
18.800000,robot3,robot4,1.400000,0,0,True
18.900000,robot1,robot2,1.199890,0,0,True
18.900000,robot1,robot3,4.404562,0,0,True
18.900000,robot1,robot4,4.681888,0,0,True
18.900000,robot2,robot3,4.512088,0,0,True
18.900000,robot2,robot4,4.418049,0,0,True
18.900000,robot3,robot4,1.400000,0,0,True
19.000000,robot1,robot2,1.199890,0,0,True
19.000000,robot1,robot3,4.404562,0,0,True
19.000000,robot1,robot4,4.681888,0,0,True
19.000000,robot2,robot3,4.512088,0,0,True
19.000000,robot2,robot4,4.418048,0,0,True
19.000000,robot3,robot4,1.400000,0,0,True
19.100000,robot1,robot2,1.199890,0,0,True
19.100000,robot1,robot3,4.404563,0,0,True
19.100000,robot1,robot4,4.681888,0,0,True
19.100000,robot2,robot3,4.512088,0,0,True
19.100000,robot2,robot4,4.418048,0,0,True
19.100000,robot3,robot4,1.400000,0,0,True
19.200000,robot1,robot2,1.199890,0,0,True
19.200000,robot1,robot3,4.404563,0,0,True
19.200000,robot1,robot4,4.681888,0,0,True
19.200000,robot2,robot3,4.512088,0,0,True
19.200000,robot2,robot4,4.418048,0,0,True
19.200000,robot3,robot4,1.400000,0,0,True
19.300000,robot1,robot2,1.199890,0,0,True
19.300000,robot1,robot3,4.404563,0,0,True
19.300000,robot1,robot4,4.681888,0,0,True
19.300000,robot2,robot3,4.512087,0,0,True
19.300000,robot2,robot4,4.418048,0,0,True
19.300000,robot3,robot4,1.400000,0,0,True
19.400000,robot1,robot2,1.199890,0,0,True
19.400000,robot1,robot3,4.404563,0,0,True
19.400000,robot1,robot4,4.681888,0,0,True
19.400000,robot2,robot3,4.512087,0,0,True
19.400000,robot2,robot4,4.418047,0,0,True
19.400000,robot3,robot4,1.400000,0,0,True
19.500000,robot1,robot2,1.199890,0,0,True
19.500000,robot1,robot3,4.404563,0,0,True
19.500000,robot1,robot4,4.681888,0,0,True
19.500000,robot2,robot3,4.512087,0,0,True
19.500000,robot2,robot4,4.418047,0,0,True
19.500000,robot3,robot4,1.400000,0,0,True
19.600000,robot1,robot2,1.199890,0,0,True
19.600000,robot1,robot3,4.404563,0,0,True
19.600000,robot1,robot4,4.681888,0,0,True
19.600000,robot2,robot3,4.512087,0,0,True
19.600000,robot2,robot4,4.418047,0,0,True
19.600000,robot3,robot4,1.400000,0,0,True
19.700000,robot1,robot2,1.199890,0,0,True
19.700000,robot1,robot3,4.404563,0,0,True
19.700000,robot1,robot4,4.681888,0,0,True
19.700000,robot2,robot3,4.512087,0,0,True
19.700000,robot2,robot4,4.418047,0,0,True
19.700000,robot3,robot4,1.400000,0,0,True
19.800000,robot1,robot2,1.199890,0,0,True
19.800000,robot1,robot3,4.404563,0,0,True
19.800000,robot1,robot4,4.681888,0,0,True
19.800000,robot2,robot3,4.512087,0,0,True
19.800000,robot2,robot4,4.418046,0,0,True
19.800000,robot3,robot4,1.400000,0,0,True
19.900000,robot1,robot2,1.199890,0,0,True
19.900000,robot1,robot3,4.404564,0,0,True
19.900000,robot1,robot4,4.681888,0,0,True
19.900000,robot2,robot3,4.512087,0,0,True
19.900000,robot2,robot4,4.418046,0,0,True
19.900000,robot3,robot4,1.400000,0,0,True
20.000000,robot1,robot2,1.199890,0,0,True
20.000000,robot1,robot3,4.404564,0,0,True
20.000000,robot1,robot4,4.681889,0,0,True
20.000000,robot2,robot3,4.512087,0,0,True
20.000000,robot2,robot4,4.418046,0,0,True
20.000000,robot3,robot4,1.400000,0,0,True
20.100000,robot1,robot2,1.199890,0,0,True
20.100000,robot1,robot3,4.404564,0,0,True
20.100000,robot1,robot4,4.681889,0,0,True
20.100000,robot2,robot3,4.512086,0,0,True
20.100000,robot2,robot4,4.418046,0,0,True
20.100000,robot3,robot4,1.400000,0,0,True
20.200000,robot1,robot2,1.199890,0,0,True
20.200000,robot1,robot3,4.404564,0,0,True
20.200000,robot1,robot4,4.681889,0,0,True
20.200000,robot2,robot3,4.512086,0,0,True
20.200000,robot2,robot4,4.418045,0,0,True
20.200000,robot3,robot4,1.400000,0,0,True
20.300000,robot1,robot2,1.199546,0,0,True
20.300000,robot1,robot3,4.404641,0,0,True
20.300000,robot1,robot4,4.681858,0,0,True
20.300000,robot2,robot3,4.512086,0,0,True
20.300000,robot2,robot4,4.418045,0,0,True
20.300000,robot3,robot4,1.400000,0,0,True
20.400000,robot1,robot2,1.199612,0,0,True
20.400000,robot1,robot3,4.404642,0,0,True
20.400000,robot1,robot4,4.681878,0,0,True
20.400000,robot2,robot3,4.512086,0,0,True
20.400000,robot2,robot4,4.418045,0,0,True
20.400000,robot3,robot4,1.400000,0,0,True
20.500000,robot1,robot2,1.199686,0,0,True
20.500000,robot1,robot3,4.404622,0,0,True
20.500000,robot1,robot4,4.681881,0,0,True
20.500000,robot2,robot3,4.512086,0,0,True
20.500000,robot2,robot4,4.418045,0,0,True
20.500000,robot3,robot4,1.400000,0,0,True
20.600000,robot1,robot2,1.199697,0,0,True
20.600000,robot1,robot3,4.404619,0,0,True
20.600000,robot1,robot4,4.681882,0,0,True
20.600000,robot2,robot3,4.512086,0,0,True
20.600000,robot2,robot4,4.418044,0,0,True
20.600000,robot3,robot4,1.400000,0,0,True
20.700000,robot1,robot2,1.199699,0,0,True
20.700000,robot1,robot3,4.404619,0,0,True
20.700000,robot1,robot4,4.681882,0,0,True
20.700000,robot2,robot3,4.512086,0,0,True
20.700000,robot2,robot4,4.418044,0,0,True
20.700000,robot3,robot4,1.400000,0,0,True
20.800000,robot1,robot2,1.199700,0,0,True
20.800000,robot1,robot3,4.404619,0,0,True
20.800000,robot1,robot4,4.681883,0,0,True
20.800000,robot2,robot3,4.512086,0,0,True
20.800000,robot2,robot4,4.418044,0,0,True
20.800000,robot3,robot4,1.400000,0,0,True
20.900000,robot1,robot2,1.199699,0,0,True
20.900000,robot1,robot3,4.404619,0,0,True
20.900000,robot1,robot4,4.681883,0,0,True
20.900000,robot2,robot3,4.512086,0,0,True
20.900000,robot2,robot4,4.418044,0,0,True
20.900000,robot3,robot4,1.400000,0,0,True
21.000000,robot1,robot2,1.199700,0,0,True
21.000000,robot1,robot3,4.404620,0,0,True
