time_s,robot_id,x,y,yaw,vx,vy
0.0,robot1,-2.200097,-0.899736,0.289645,0.0,0.0
0.0,robot2,-2.199941,0.299721,-0.159093,0.0,0.0
0.0,robot3,2.2,-0.7,2.83354,0.0,0.0
0.0,robot4,2.2,0.7,-2.96174,0.0,0.0
0.05,robot1,-2.2000919999999997,-0.8997505,0.28964650000000003,4.7e-05,-0.000145
0.05,robot2,-2.199941,0.299721,-0.159097,1e-06,2e-06
0.05,robot3,2.2,-0.7,2.83354,0.0,0.0
0.05,robot4,2.2,0.7,-2.96174,0.0,0.0
0.1,robot1,-2.200087,-0.899765,0.289648,9.4e-05,-0.00029
0.1,robot2,-2.199941,0.299721,-0.159101,2e-06,4e-06
0.1,robot3,2.2,-0.7,2.83354,-0.0,-0.0
0.1,robot4,2.2,0.7,-2.96174,0.0,-0.0
0.15000000000000002,robot1,-2.2000865,-0.8997670000000001,0.2896595,5.249999999999999e-05,-0.00016549999999999998
0.15000000000000002,robot2,-2.199941,0.29972150000000003,-0.159106,9.999999999999997e-07,4.5e-06
0.15000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.15000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.2,robot1,-2.200086,-0.899769,0.289671,1.1e-05,-4.1e-05
0.2,robot2,-2.199941,0.299722,-0.159111,0.0,5e-06
0.2,robot3,2.2,-0.7,2.83354,-0.0,-0.0
0.2,robot4,2.2,0.7,-2.96174,0.0,-0.0
0.25,robot1,-2.2000865000000003,-0.8997695,0.2896835,3.5000000000000004e-06,-2.4e-05
0.25,robot2,-2.199941,0.299722,-0.159115,1e-06,3.5000000000000004e-06
0.25,robot3,2.2,-0.7,2.83354,0.0,0.0
0.25,robot4,2.2,0.7,-2.96174,0.0,0.0
0.30000000000000004,robot1,-2.200087,-0.89977,0.289696,-3.999999999999999e-06,-6.999999999999994e-06
0.30000000000000004,robot2,-2.199941,0.299722,-0.159119,2.000000000000416e-06,2.000000000002132e-06
0.30000000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
0.30000000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
0.35000000000000003,robot1,-2.200087,-0.8997695,0.28970650000000003,-3.4999999999999995e-06,-1.4999999999999966e-06
0.35000000000000003,robot2,-2.1999035,0.299914,-0.159258,0.0003765000000000002,0.0019225000000000015
0.35000000000000003,robot3,2.2,-0.7,2.83354,0.0,0.0
0.35000000000000003,robot4,2.2,0.7,-2.96174,0.0,0.0
0.4,robot1,-2.200087,-0.899769,0.289717,-3e-06,4e-06
0.4,robot2,-2.199866,0.300106,-0.159397,0.000751,0.003843
0.4,robot3,2.2,-0.7,2.83354,-0.0,-0.0
0.4,robot4,2.2,0.7,-2.96174,0.0,-0.0
0.45,robot1,-2.200087,-0.899769,0.289729,-3e-06,4.5e-06
0.45,robot2,-2.1998800000000003,0.3000295,-0.159367,0.00023249999999999996,0.001154
0.45,robot3,2.2,-0.7,2.83354,0.0,0.0
0.45,robot4,2.2,0.7,-2.96174,0.0,0.0
0.5,robot1,-2.200087,-0.899769,0.289741,-3e-06,5e-06
0.5,robot2,-2.199894,0.299953,-0.159337,-0.000286,-0.001535
0.5,robot3,2.2,-0.7,2.83354,-0.0,-0.0
0.5,robot4,2.2,0.7,-2.96174,0.0,-0.0
0.55,robot1,-2.2000875,-0.899769,0.28975300000000004,-4.500000000000002e-06,2.4999999999999972e-06
0.55,robot2,-2.1998965,0.299938,-0.1593515,-0.00016799999999999988,-0.0009149999999999993
0.55,robot3,2.2,-0.7,2.83354,0.0,0.0
0.55,robot4,2.2,0.7,-2.96174,0.0,0.0
0.6000000000000001,robot1,-2.200088,-0.899769,0.289765,-5.999999999999997e-06,5.5511151231257845e-21
0.6000000000000001,robot2,-2.199899,0.299923,-0.159366,-4.9999999999999955e-05,-0.00029499999999999974
0.6000000000000001,robot3,2.2,-0.7,2.83354,0.0,0.0
