time_s,robot_id,x,y,yaw,vx,vy
0.1,robot1,-2.200021,-0.899966,0.289199,1e-06,3e-06
0.1,robot2,-2.199941,0.299721,-0.159094,0.0,0.0
0.1,robot3,2.2,-0.7,2.83354,-0.0,-0.0
0.1,robot4,2.2,0.7,-2.96174,0.0,0.0
0.15000000000000002,robot1,-2.200021,-0.899966,0.2892075,-2.5000000000000006e-06,1.9999999999999995e-06
0.15000000000000002,robot2,-2.199941,0.299721,-0.1590985,1.5000000000000005e-06,1.0000000000000002e-06
0.15000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.15000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.20000000000000004,robot1,-2.200021,-0.899966,0.289216,-5.9999999999999985e-06,1.0000000000000002e-06
0.20000000000000004,robot2,-2.199941,0.299721,-0.159103,2.9999999999999997e-06,2.0000000000000003e-06
0.20000000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
0.20000000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
0.25000000000000006,robot1,-2.200021,-0.899966,0.289223,-3.499999999999997e-06,1.5000000000000005e-06
0.25000000000000006,robot2,-2.199941,0.29972150000000003,-0.159108,1.9999999999999986e-06,2.5000000000000006e-06
0.25000000000000006,robot3,2.2,-0.7,2.83354,0.0,0.0
0.25000000000000006,robot4,2.2,0.7,-2.96174,0.0,0.0
0.30000000000000004,robot1,-2.200021,-0.899966,0.28923,-1e-06,2.0000000000000003e-06
0.30000000000000004,robot2,-2.199941,0.299722,-0.159113,1e-06,3.0000000000000005e-06
0.30000000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
0.30000000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
0.3500000000000001,robot1,-2.200021,-0.899966,0.2892375,-1e-06,2.5000000000000006e-06
0.3500000000000001,robot2,-2.199941,0.299722,-0.15911650000000002,1e-06,3.500000000000001e-06
0.3500000000000001,robot3,2.2,-0.7,2.83354,0.0,0.0
0.3500000000000001,robot4,2.2,0.7,-2.96174,0.0,0.0
0.40000000000000013,robot1,-2.200021,-0.899966,0.289245,-1.000000000000001e-06,3.0000000000000013e-06
0.40000000000000013,robot2,-2.199941,0.299722,-0.15912,1.000000000000847e-06,4.000000000003606e-06
0.40000000000000013,robot3,2.2,-0.7,2.83354,0.0,0.0
0.40000000000000013,robot4,2.2,0.7,-2.96174,0.0,0.0
0.45000000000000007,robot1,-2.2000215,-0.8999655,0.289252,-1.5000000000000005e-06,3.5000000000000004e-06
0.45000000000000007,robot2,-2.1999025,0.2998845,-0.1592735,0.0003825000000000004,0.001628000000000002
0.45000000000000007,robot3,2.2,-0.7,2.83354,0.0,0.0
0.45000000000000007,robot4,2.2,0.7,-2.96174,0.0,0.0
0.5000000000000001,robot1,-2.200022,-0.899965,0.289259,-2e-06,4e-06
0.5000000000000001,robot2,-2.199864,0.300047,-0.159427,0.0007639999999999988,0.0032519999999999953
0.5000000000000001,robot3,2.2,-0.7,2.83354,0.0,0.0
0.5000000000000001,robot4,2.2,0.7,-2.96174,0.0,0.0
0.5500000000000002,robot1,-2.200022,-0.899965,0.289266,-2e-06,4e-06
0.5500000000000002,robot2,-2.1998795,0.2999945,-0.1593965,0.00022699999999999825,0.0011019999999999927
0.5500000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.5500000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.6000000000000002,robot1,-2.200022,-0.899965,0.289273,-1.999999999999998e-06,4e-06
0.6000000000000002,robot2,-2.199895,0.299942,-0.159366,-0.0003099999999999994,-0.0010479999999999982
0.6000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.6000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.6500000000000001,robot1,-2.200022,-0.8999645,0.28928000000000004,-1.4999999999999983e-06,4e-06
0.6500000000000001,robot2,-2.1998975,0.299932,-0.15936750000000002,-0.00017649999999999955,-0.0006279999999999987
0.6500000000000001,robot3,2.2,-0.7,2.83354,0.0,0.0
0.6500000000000001,robot4,2.2,0.7,-2.96174,0.0,0.0
0.7000000000000002,robot1,-2.200022,-0.899964,0.289287,-1e-06,4e-06
0.7000000000000002,robot2,-2.1999,0.299922,-0.159369,-4.2999999999999914e-05,-0.00020799999999999958
0.7000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.7000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.7500000000000002,robot1,-2.200022,-0.899964,0.2892945,-1e-06,4e-06
0.7500000000000002,robot2,-2.1999,0.2999205,-0.1593775,-2.2999999999999912e-05,-0.0001184999999999996
0.7500000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.7500000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.8000000000000002,robot1,-2.200022,-0.899964,0.289302,-1e-06,4e-06
0.8000000000000002,robot2,-2.1999,0.299919,-0.159386,-2.9999999999999946e-06,-2.899999999999997e-05
0.8000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.8000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.8500000000000002,robot1,-2.200022,-0.899964,0.28930900000000004,-1e-06,4e-06
0.8500000000000002,robot2,-2.1999,0.2999185,-0.1593945,-4.999999999999918e-07,-1.5499999999999957e-05
0.8500000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.8500000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.9000000000000002,robot1,-2.200022,-0.899964,0.289316,-1e-06,4e-06
0.9000000000000002,robot2,-2.1999,0.299918,-0.159403,1.999999999999998e-06,-1.99999999999998e-06
0.9000000000000002,robot3,2.2,-0.7,2.83354,0.0,0.0
0.9000000000000002,robot4,2.2,0.7,-2.96174,0.0,0.0
0.9500000000000003,robot1,-2.200022,-0.8999634999999999,0.289323,-1e-06,4e-06
0.9500000000000003,robot2,-2.1999,0.29991850000000003,-0.1594115,1.499999999999997e-06,2.5000000000000248e-06
0.9500000000000003,robot3,2.2,-0.7,2.83354,0.0,0.0
0.9500000000000003,robot4,2.2,0.7,-2.96174,0.0,0.0
1.0000000000000004,robot1,-2.200022,-0.899963,0.28933,-1.0000000000000177e-06,4e-06
1.0000000000000004,robot2,-2.1999,0.299919,-0.15942,1.0000000000000088e-06,6.999999999999974e-06
1.0000000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
1.0000000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
1.0500000000000003,robot1,-2.2000225,-0.899963,0.2893365,-3.0000000000000094e-06,4e-06
1.0500000000000003,robot2,-2.1998995,0.299919,-0.1594275,2.0000000000000046e-06,3.999999999999987e-06
1.0500000000000003,robot3,2.2,-0.7,2.83354,0.0,0.0
1.0500000000000003,robot4,2.2,0.7,-2.96174,0.0,0.0
1.1000000000000005,robot1,-2.200023,-0.899963,0.289343,-4.999999999999978e-06,4.000000000000004e-06
1.1000000000000005,robot2,-2.199899,0.299919,-0.159435,3e-06,1.0000000000000088e-06
1.1000000000000005,robot3,2.2,-0.7,2.83354,0.0,0.0
1.1000000000000005,robot4,2.2,0.7,-2.96174,0.0,0.0
1.1500000000000004,robot1,-2.200023,-0.8999625,0.289349,-2.4999999999999837e-06,4.5000000000000035e-06
1.1500000000000004,robot2,-2.199899,0.2999195,-0.159443,3e-06,2.0000000000000067e-06
1.1500000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
1.1500000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
1.2000000000000004,robot1,-2.200023,-0.899962,0.289355,-1.3322676295501867e-20,4.999999999999983e-06
1.2000000000000004,robot2,-2.199899,0.29992,-0.159451,2.999999999999991e-06,3.000000000000018e-06
1.2000000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
1.2000000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
1.2500000000000004,robot1,-2.200023,-0.899962,0.289361,-1.5000000000000134e-06,2.9999999999999823e-06
1.2500000000000004,robot2,-2.199899,0.29992,-0.15945900000000002,1.999999999999991e-06,5.000000000000018e-06
1.2500000000000004,robot3,2.2,-0.7,2.83354,0.0,0.0
1.2500000000000004,robot4,2.2,0.7,-2.96174,0.0,0.0
1.3000000000000005,robot1,-2.200023,-0.899962,0.289367,-2.999999999999996e-06,1.0000000000000222e-06
1.3000000000000005,robot2,-2.199899,0.29992,-0.159467,1.0000000000000088e-06,6.999999999999974e-06
1.3000000000000005,robot3,2.2,-0.7,2.83354,0.0,0.0
1.3000000000000005,robot4,2.2,0.7,-2.96174,0.0,0.0
1.3500000000000005,robot1,-2.200023,-0.899962,0.289373,-2.4999999999999947e-06,3.5000000000000275e-06
1.3500000000000005,robot2,-2.199899,0.29992,-0.159474,2.0000000000000113e-06,3.999999999999967e-06
1.3500000000000005,robot3,2.2,-0.7,2.83354,0.0,0.0
1.3500000000000005,robot4,2.2,0.7,-2.96174,0.0,0.0
1.4000000000000006,robot1,-2.200023,-0.899962,0.289379,-2.00000000000852e-06,6.0000000000247005e-06
1.4000000000000006,robot2,-2.199899,0.29992,-0.159481,3e-06,1.0000000000000133e-06
1.4000000000000006,robot3,2.2,-0.7,2.83354,0.0,0.0
1.4000000000000006,robot4,2.2,0.7,-2.96174,0.0,0.0
1.4500000000000006,robot1,-2.200087,-0.899776,0.289524,-0.0006415000000000086,0.0018600000000000246
