scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,occlusion_probability,occlusion_max_duration,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,seed_index
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.1,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6484077572822571,11.52,96,0.1572812646627426,0.364761620759964,0.9846161967143416,11.075099841807967,1.051569268204427,0.8907817568397149,1.3783593753184202,0.1510416666666666,0.0755208333333333,0.2704689569996359,0.3892667337724318,0.4436786709912121,0.5606287011667154,0.6380208333333334,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.1,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.630490243434906,12.24,102,0.1346203386783599,0.2801663875579834,0.9868326792493464,11.243770935339851,1.088990337617111,0.8948671144670716,1.366370098277876,0.2225490196078431,0.1397058823529411,0.1892922769581862,0.3062089736803489,0.3624635296870095,0.5433344041132461,0.6593137254901961,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,rvo_reactive,low,0.02,0.04,neighbor_dropout_zero_v1,0.1,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.8389928340911865,15.72,131,0.1382879167795181,0.3083887100219726,0.9864739505574108,11.5364189969805,0.5113739585397296,0.457287457668514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721374045801526,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,residual_passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.1,3,16207881606417289563,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6461663842201233,11.88,99,0.1420024037361145,0.3130635917186737,0.98611063323915,11.53992426325567,1.1422162890867,0.9344205928283198,1.639939140604287,0.0808080808080808,0.0429292929292929,0.3261121257673008,0.4143440785582619,0.4809944163217688,0.5360539757332416,0.7045454545454546,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,icgp_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.1,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6146255731582642,11.76,98,0.1331136375665664,0.2793717086315155,0.9869800508022308,11.392726363497786,1.1023178375040998,0.9190346142087056,1.7680165826221832,0.1520408163265306,0.0918367346938775,0.2825581499303177,0.4058120344655246,0.4643321765700773,0.5600361424456446,0.7040816326530612,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.1,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6043620705604553,11.04,92,0.1359601318836212,0.3774672150611877,0.986701632849872,11.100267104338856,1.1394973233666108,0.9379400262386416,1.0534494564205448,0.1918478260869565,0.1114130434782608,0.1989524793843536,0.3140712899884775,0.3658338653336724,0.5201708994287513,0.7255434782608695,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,rvo_reactive,high,0.1,0.2,neighbor_dropout_zero_v1,0.1,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.799839198589325,15.48,129,0.1235140115022659,0.3775448203086853,0.9879189981147648,11.67733600520296,0.5480912515041672,0.4729323302605009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236434108527132,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,13868,residual_passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.1,3,8972166523400180881,12.0,5.4,64.80000000000001,0.0617283950617283,16.200000000000003,x,y,4.140000000000001,0.9661835748792268,0.963308334350586,0.9641275405883788,0,0,0,0,0,1.2154004955291748,1,0,0,0,0.6854625344276428,14.16,118,0.1215665340423584,0.3491826057434082,0.9881094824522734,11.392209412122613,0.992557224914258,0.7613210812392566,2.154614195406192,0.1716101694915254,0.1419491525423729,0.2330159232310034,0.3472209021089187,0.3862454428328043,0.5551060772283097,0.5677966101694916,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.1,3,9540232856888709843,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,1,0,0.4985449314117431,26.4,220,0.4739854037761688,1.551185965538025,0.9531846418976784,15.034322018895182,1.6032942763783715,1.4013940632343291,2.0117827274589217,0.4013636363636363,0.2681818181818182,-0.0429625040218445,0.1024078062708404,0.1262027103365822,0.3898765064532107,0.7414772727272727,0
corridor,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,17868,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.1,3,9540232856888709843,12.0,5.4,64.80000000000001,0.1234567901234567,8.100000000000001,x,y,4.140000000000001,1.9323671497584536,0.9878649711608888,0.9902820587158204,0,0,0,0,0,0.6994443535804749,0,0,0,0,0.5692179203033447,26.4,220,1.142925262451172,3.4777209758758545,0.8871137052774429,15.110632084149984,1.70218171057376,1.498807125470855,1.1910294313896552,0.4646590909090909,0.3568181818181818,-0.0580805275839626,0.0617841133514249,0.0786209234620698,0.3467638640657745,0.6914772727272728,0
