noise_level,comparison,metric,direction,paired_cases,mean_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,mean_signed_improvement,primary_better_rate
high,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.0,-0.03333333333333333,0.03333333333333333,1.0,0.0,0.0375
high,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.2705,-0.473,-0.06350000000000004,0.007999200079992,0.2705,0.29583333333333334
high,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,0.004525863906989491,-0.07770658066418643,0.08822869673836974,0.9234076592340766,-0.004525863906989491,0.5208333333333334
high,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,-0.0032167235449668493,-0.01722981875163519,0.010863174920580124,0.6558344165583442,-0.0032167235449668493,0.4875
high,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,-0.00043500881486882695,-0.00855379010521575,0.0073087356708128924,0.92010798920108,-0.00043500881486882695,0.5208333333333334
high,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.0,-0.06666666666666667,0.07083333333333333,1.0,0.0,0.14583333333333334
high,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.025,-0.008333333333333333,0.058333333333333334,0.206979302069793,0.025,0.04583333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,-0.041666666666666664,-0.08333333333333333,0.0,0.0771922807719228,0.041666666666666664,0.075
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.19799999999999998,-0.37251249999999997,-0.03000000000000004,0.023797620237976203,0.19799999999999998,0.2875
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,0.0594762433009843,-0.030859322445467127,0.15814134186288958,0.2278772122787721,-0.0594762433009843,0.5041666666666667
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,0.009922774982864932,-0.0046654469083490056,0.024622399513435752,0.18738126187381263,0.009922774982864932,0.5333333333333333
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,-0.005639775369005901,-0.014722165782392646,0.0030509156344730114,0.22317768223177684,-0.005639775369005901,0.5041666666666667
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,-0.008333333333333333,-0.07916666666666666,0.058333333333333334,0.9028097190280971,0.008333333333333333,0.15
high,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,0.04583333333333333,0.008333333333333333,0.08333333333333333,0.025897410258974102,0.04583333333333333,0.06666666666666667
high,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,0.016666666666666666,-0.016666666666666666,0.05,0.47265273472652736,-0.016666666666666666,0.029166666666666667
high,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,-1.2314999999999998,-1.581,-0.8989999999999999,9.999000099990002e-05,1.2314999999999998,0.375
high,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,-0.1227661649696529,-0.24945454271510242,-0.0005372085554215489,0.054394560543945605,0.1227661649696529,0.7
high,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.05761709458489041,-0.0777005551910571,-0.037962090071872935,9.999000099990002e-05,-0.05761709458489041,0.35833333333333334
high,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,0.011916362094537664,2.0942120269561824e-05,0.02374789129331475,0.052594740525947405,0.011916362094537664,0.7
