noise_level,method,metric,direction,trials,mean,bootstrap_ci_low,bootstrap_ci_high
high,icgp_rvo_mpc,collision,lower,240,0.058333333333333334,0.029166666666666667,0.09166666666666666
high,icgp_rvo_mpc,completion_time,lower,240,21.020499999999995,20.152474999999995,21.847049999999996
high,icgp_rvo_mpc,final_goal_distance,lower,240,2.083240249256293,1.7925508752046153,2.3750476985463562
high,icgp_rvo_mpc,min_distance,higher,240,0.6554417830506725,0.6367401155908965,0.6740727654281701
high,icgp_rvo_mpc,progress_ratio,higher,240,0.7991207586678987,0.7708647870845744,0.8270640234297025
high,icgp_rvo_mpc,safety_violation,lower,240,0.4,0.3375,0.4625
high,icgp_rvo_mpc,success,higher,240,0.42083333333333334,0.35833333333333334,0.48333333333333334
high,passive_rvo_mpc,collision,lower,240,0.058333333333333334,0.029166666666666667,0.0875
high,passive_rvo_mpc,completion_time,lower,240,21.290999999999993,20.462999999999997,22.082037499999995
high,passive_rvo_mpc,final_goal_distance,lower,240,2.0787143853493033,1.7965672161236095,2.38209290244927
high,passive_rvo_mpc,min_distance,higher,240,0.6586585065956392,0.6400539713643458,0.6773635103508646
high,passive_rvo_mpc,progress_ratio,higher,240,0.7995557674827675,0.7710298495362319,0.8266142921161371
high,passive_rvo_mpc,safety_violation,lower,240,0.4,0.3375,0.4625
high,passive_rvo_mpc,success,higher,240,0.3958333333333333,0.3333333333333333,0.4583333333333333
high,residual_passive_rvo_mpc,collision,lower,240,0.1,0.0625,0.1375
high,residual_passive_rvo_mpc,completion_time,lower,240,21.218499999999995,20.368399999999998,22.035549999999997
high,residual_passive_rvo_mpc,final_goal_distance,lower,240,2.0237640059553086,1.740322004168605,2.3129056251763056
high,residual_passive_rvo_mpc,min_distance,higher,240,0.6455190080678075,0.6254428411753582,0.6654296014268304
high,residual_passive_rvo_mpc,progress_ratio,higher,240,0.8047605340369046,0.7761246817860713,0.8321891082806784
high,residual_passive_rvo_mpc,safety_violation,lower,240,0.4083333333333333,0.3458333333333333,0.4708333333333333
high,residual_passive_rvo_mpc,success,higher,240,0.375,0.3125,0.4375
high,rvo_reactive,collision,lower,240,0.041666666666666664,0.020833333333333332,0.06666666666666667
high,rvo_reactive,completion_time,lower,240,22.252,21.523487499999998,22.939999999999994
high,rvo_reactive,final_goal_distance,lower,240,2.206006414225946,1.9175128588934118,2.514461957482466
high,rvo_reactive,min_distance,higher,240,0.7130588776355629,0.6894886860949454,0.7372189539616617
high,rvo_reactive,progress_ratio,higher,240,0.787204396573361,0.75732189682972,0.8159940079676259
high,rvo_reactive,safety_violation,lower,240,0.3416666666666667,0.2833333333333333,0.4
high,rvo_reactive,success,higher,240,0.4041666666666667,0.3416666666666667,0.4666666666666667
low,icgp_rvo_mpc,collision,lower,240,0.025,0.008333333333333333,0.04583333333333333
low,icgp_rvo_mpc,completion_time,lower,240,21.070499999999996,20.213475,21.912024999999996
low,icgp_rvo_mpc,final_goal_distance,lower,240,2.065898373629898,1.7739966872256872,2.37293906318179
low,icgp_rvo_mpc,min_distance,higher,240,0.6734540270360382,0.6569496993494103,0.6901447860092162
low,icgp_rvo_mpc,progress_ratio,higher,240,0.8007610506339309,0.7719195640399509,0.8293114471343385
low,icgp_rvo_mpc,safety_violation,lower,240,0.35,0.2916666666666667,0.4125
low,icgp_rvo_mpc,success,higher,240,0.44166666666666665,0.37916666666666665,0.5041666666666667
low,passive_rvo_mpc,collision,lower,240,0.05,0.025,0.07916666666666666
low,passive_rvo_mpc,completion_time,lower,240,21.119499999999995,20.261487499999998,21.955012499999995
low,passive_rvo_mpc,final_goal_distance,lower,240,2.15987978419289,1.8627754595146204,2.46155724556651
low,passive_rvo_mpc,min_distance,higher,240,0.6663585397076316,0.6481799970520894,0.6854807692687076
low,passive_rvo_mpc,progress_ratio,higher,240,0.7918055419247442,0.7637049306850531,0.8196544728024553
low,passive_rvo_mpc,safety_violation,lower,240,0.325,0.26666666666666666,0.3875
low,passive_rvo_mpc,success,higher,240,0.4166666666666667,0.3541666666666667,0.4791666666666667
low,residual_passive_rvo_mpc,collision,lower,240,0.029166666666666667,0.008333333333333333,0.05416666666666667
low,residual_passive_rvo_mpc,completion_time,lower,240,21.249499999999998,20.416987499999998,22.059525
low,residual_passive_rvo_mpc,final_goal_distance,lower,240,2.0373887177867194,1.7596429975819774,2.318521414814362
low,residual_passive_rvo_mpc,min_distance,higher,240,0.669764250125206,0.6527604328127671,0.6872149418839949
low,residual_passive_rvo_mpc,progress_ratio,higher,240,0.803522199136205,0.7761177591677794,0.8298466243063255
low,residual_passive_rvo_mpc,safety_violation,lower,240,0.3416666666666667,0.2833333333333333,0.4
low,residual_passive_rvo_mpc,success,higher,240,0.42083333333333334,0.35833333333333334,0.48333333333333334
low,rvo_reactive,collision,lower,240,0.03333333333333333,0.0125,0.058333333333333334
low,rvo_reactive,completion_time,lower,240,22.226999999999993,21.518462499999995,22.923524999999998
low,rvo_reactive,final_goal_distance,lower,240,2.356285946350545,2.046748223307077,2.6669485461882623
low,rvo_reactive,min_distance,higher,240,0.7348005626521215,0.7113163935344482,0.7601913776781913
low,rvo_reactive,progress_ratio,higher,240,0.7729672212696944,0.7437661965197185,0.8029407162362865
low,rvo_reactive,safety_violation,lower,240,0.2916666666666667,0.23333333333333334,0.35
low,rvo_reactive,success,higher,240,0.3958333333333333,0.3333333333333333,0.4583333333333333
